#gen      BHL
           0     136.433
           1     134.794
           2     133.338
           3     131.063
           4     129.362
           5     126.499
           6     124.428
           7     122.063
           8     119.661
           9     117.252
          10      115.12
          11     112.715
          12     111.495
          13     110.572
          14     109.181
          15     107.081
          16     106.073
          17     104.313
          18     103.314
          19     100.809
          20     99.6851
          21     98.8382
          22      98.116
          23     97.0095
          24     95.5896
          25     94.6089
          26     93.2396
          27     92.0407
          28     90.7138
          29      89.166
          30     87.6242
          31     86.6804
          32     85.7718
          33     85.1163
          34     84.6438
          35     83.5466
          36     82.6777
          37      82.197
          38     81.5921
          39     80.6265
          40     79.7507
          41     78.9496
          42     78.0265
          43     77.9408
          44     77.0629
          45     76.0647
          46     75.6235
          47     74.9479
          48     74.3081
          49     73.9211
          50     73.2721
          51     72.5116
          52     71.6161
          53     71.0552
          54     70.7376
          55     70.7217
          56     70.4126
          57     69.8532
          58     69.5403
          59      68.349
          60     68.1639
          61     67.5582
          62     66.7257
          63     66.3745
          64      66.101
          65     65.3635
          66     65.0826
          67     65.1085
          68     64.3063
          69     64.0186
          70     63.3098
          71     63.0811
          72     62.9836
          73     62.1505
          74     61.3769
          75     60.9822
          76     60.5824
          77     59.8869
          78     59.5797
          79     58.7273
          80     57.6878
          81     56.7076
          82     55.7926
          83     55.4929
          84     55.7519
          85     54.9154
          86     55.1264
          87     55.3363
          88     55.6988
          89     55.7169
          90     55.4602
          91     55.0904
          92     54.9474
          93     54.9778
          94     54.4049
          95     53.5277
          96     52.8978
          97      53.019
          98     52.1477
          99       51.55
           0     50.3547
           1     50.0118
           2      49.103
           3     48.8324
           4     48.4386
           5     48.4116
           6     48.0199
           7     48.3542
           8     47.7627
           9      47.713
          10     47.6692
          11     46.8297
          12     46.4473
          13     45.9257
          14     45.8567
          15      45.663
          16     45.5481
          17     45.1568
          18     45.0041
          19     44.7057
          20     44.4163
          21     44.1316
          22     44.4476
          23     44.2063
          24     43.8157
          25     43.4445
          26     42.9715
          27      42.994
          28     43.3421
          29     42.9416
          30     42.8718
          31     42.3555
          32     42.0273
          33     42.3213
          34     41.9876
          35     41.8463
          36     41.8573
          37     41.6295
          38     40.8855
          39     39.9455
          40     39.8133
          41     39.3757
          42     38.6082
          43     38.6702
          44     39.1953
          45     39.0113
          46     39.0298
          47     38.4278
          48     38.3965
          49     37.7437
          50     37.9537
          51     37.7265
          52     37.6858
          53     37.2848
          54     37.2076
          55     36.3807
          56     35.8215
          57     36.0527
          58     35.5733
          59     35.1014
          60     35.1372
          61     34.1237
          62     34.4367
          63     34.1201
          64     33.8797
          65     33.6841
          66     33.6788
          67     33.5232
          68     33.4411
          69     33.3223
          70     33.4784
          71      33.119
          72     32.9149
          73     32.5635
          74     32.2024
          75     32.3289
          76     32.3978
          77     32.3783
          78     32.4748
          79     32.2295
          80     31.3557
          81     30.9555
          82     30.9186
          83     31.5106
          84     31.2948
          85      31.713
          86      31.293
          87       30.88
          88     30.2156
          89     30.1892
          90     30.1942
          91     30.0269
          92     30.2343
          93      30.142
          94     29.7122
          95     30.1768
          96     29.9956
          97     29.5828
          98     29.4735
          99     29.8007
           0     29.9266
           1     29.6711
           2     29.7825
           3     30.0607
           4     30.3777
           5     30.2978
           6     30.2684
           7     29.8415
           8     29.6632
           9     29.4654
          10     28.7725
          11     28.8116
          12     29.0676
          13     29.1208
          14     28.2502
