#gen      BHL
           0     512.942
           1     508.593
           2     501.375
           3     495.201
           4     485.637
           5     476.956
           6     470.011
           7     461.435
           8     451.544
           9     445.152
          10     436.842
          11     431.845
          12      425.41
          13     418.345
          14     407.198
          15     400.511
          16     393.001
          17     382.034
          18     378.122
          19     372.152
          20      364.31
          21     359.001
          22     354.775
          23     350.699
          24     347.043
          25     343.782
          26     339.162
          27     333.646
          28     330.202
          29     328.484
          30         323
          31     319.047
          32     315.946
          33     314.232
          34     313.767
          35     311.654
          36     308.801
          37      307.07
          38      303.39
          39     301.065
          40     299.367
          41     297.614
          42      293.95
          43     292.281
          44     289.594
          45     286.741
          46     283.168
          47     282.189
          48     277.465
          49     274.712
          50     270.795
          51     268.049
          52      266.66
          53     266.224
          54     264.565
          55     263.856
          56     262.536
          57     261.464
          58     257.553
          59     256.189
          60     252.342
          61      250.65
          62     249.344
          63     248.889
          64     247.485
          65     247.216
          66     245.735
          67     244.225
          68     243.565
          69     240.313
          70      239.81
          71     238.154
          72     237.591
          73     236.086
          74     234.301
          75      231.76
          76     229.355
          77     227.889
          78     225.509
          79     224.276
          80     223.623
          81     220.458
          82     219.612
          83     217.928
          84     215.882
          85     214.147
          86     212.652
          87     209.955
          88     208.476
          89     207.277
          90     205.806
          91     203.627
          92      202.84
          93     201.765
          94     201.316
          95     199.915
          96     198.778
          97      196.73
          98     194.832
          99     193.784
           0     191.671
           1     190.422
           2     190.839
           3     190.808
           4     190.244
           5      187.39
           6     186.575
           7     186.419
           8     186.941
           9     184.301
          10      183.49
          11     182.875
          12     182.648
          13     182.578
          14     182.353
          15     181.551
          16     180.748
          17     180.052
          18      179.82
          19     178.644
          20     179.278
          21     180.086
          22     178.802
          23     178.381
          24     178.023
          25     177.485
          26     176.921
          27     177.109
          28      177.35
          29     176.926
          30     177.549
          31     176.503
          32     176.279
          33     174.894
          34     175.134
          35     175.799
          36     176.076
          37     174.859
          38     173.529
          39     172.142
          40     172.268
          41       171.9
          42     170.412
          43     170.121
          44     170.589
          45     169.919
          46     168.892
          47     167.293
          48     166.184
          49     165.035
          50      164.05
          51     165.871
          52      164.55
          53      163.61
          54     163.246
          55     161.639
          56     162.133
          57     161.738
          58     160.118
          59     158.621
          60     159.516
          61       159.4
          62     158.307
          63     159.069
          64     158.164
          65       157.7
          66      157.11
          67     155.981
          68     154.982
          69     157.255
          70     157.182
          71     154.692
          72     153.819
          73     153.509
          74     153.874
          75      153.28
          76      152.29
          77     150.467
          78     148.214
          79      148.25
          80     147.834
          81     148.326
          82     147.451
          83     146.563
          84      146.46
          85      146.54
          86     145.814
          87     146.414
          88     145.635
          89     144.757
          90     145.063
          91     144.788
          92     144.895
          93       144.7
          94     145.418
          95      146.65
          96      146.83
          97     148.177
          98     148.387
          99     147.753
           0     145.708
           1     145.047
           2     142.602
           3     138.815
           4     133.556
           5     130.961
           6     129.785
           7     128.997
           8     129.069
           9     129.701
          10     129.547
          11     129.895
          12     129.335
          13     129.212
          14     128.335
          15     128.843
          16     129.243
          17      130.21
          18     129.404
          19     127.558
          20     128.823
          21     127.156
          22     126.185
          23     125.783
          24     126.406
          25     125.847
          26     127.002
          27     127.089
          28     126.283
          29     126.331
          30     125.978
          31      125.71
          32     125.815
          33     126.171
          34     126.477
          35     126.782
          36     125.936
          37     126.605
          38     125.021
          39     124.638
          40      124.28
          41     124.674
          42     122.965
          43     122.662
          44      122.56
          45     122.853
          46     124.029
          47     124.615
          48     124.226
          49     124.004
          50     122.515
          51     122.567
          52     124.193
          53     122.545
          54     121.953
          55     121.177
          56     120.987
          57     119.244
          58     120.021
          59     122.257
          60     122.412
          61     121.126
          62     119.736
          63     120.278
          64     120.092
          65      118.25
          66     118.885
          67     118.447
          68     117.689
          69     117.907
          70     118.267
          71     117.909
          72     117.023
          73     116.563
          74     116.693
          75     117.734
          76     119.284
          77     117.949
          78     117.164
          79     117.075
          80     117.722
          81      117.05
          82     118.743
          83     118.324
          84     118.177
          85     116.447
          86     115.191
          87     115.627
          88     115.315
          89     113.978
          90     112.142
          91     111.214
          92     112.521
          93     113.193
          94     113.092
          95     110.481
          96     111.271
          97     111.494
          98     112.435
          99     113.807
           0      114.23
           1      113.99
           2      113.75
           3     114.624
           4     115.136
           5     116.278
           6     115.591
           7     115.187
           8     114.441
           9     113.934
          10     113.357
          11     111.292
          12      111.67
          13     111.737
          14     111.125
          15     111.129
          16     110.698
          17     111.849
          18     112.765
          19      112.78
          20     112.599
          21     113.731
          22     113.416
          23     111.677
          24     111.529
          25     112.232
          26      111.52
          27     109.924
          28     110.746
          29     111.725
          30     112.314
          31     112.637
          32     111.841
          33     111.229
          34     110.927
          35     110.891
          36     110.804
          37     110.831
          38     109.814
          39     109.819
          40     109.827
          41     109.588
          42     110.962
          43      109.71
          44     108.079
          45     107.864
          46     108.477
          47     109.586
          48     109.117
          49     108.464
          50     108.494
          51      108.26
          52     107.335
          53     108.125
          54     108.907
          55     108.943
          56      109.52
          57     109.219
          58     108.945
          59     107.076
          60     108.466
          61     109.694
          62     108.463
          63     108.591
          64     109.428
          65     107.724
          66     107.193
          67     108.455
          68     108.119
          69     107.247
          70     108.374
          71     107.848
          72     107.628
          73     106.504
          74     106.397
          75     106.423
          76     107.018
          77     105.857
          78      106.08
          79      106.78
          80       107.1
          81     106.154
          82     106.345
          83     105.809
          84     106.259
          85     106.483
          86      106.34
          87     106.545
          88     106.775
          89      107.96
          90     108.563
          91     108.747
          92     109.746
          93     107.608
          94     106.277
          95     105.652
          96      105.82
          97      106.02
          98     105.381
          99     107.452
           0     107.145
           1     106.338
           2     105.546
           3     102.907
           4       100.9
           5     101.079
           6     101.792
           7     100.454
           8     100.978
           9      100.31
          10     98.9587
          11     99.5689
          12     98.5896
          13      98.321
          14     97.5289
          15      97.126
          16     97.3808
          17     97.8881
          18     97.6009
          19      97.154
          20     96.8577
          21     97.1811
          22     97.1035
          23     97.0024
          24     97.2404
          25       96.81
          26      97.319
          27      96.701
          28     97.6761
          29     96.5387
          30     96.7926
          31      96.271
          32     96.6006
          33     96.2589
          34     96.0401
          35     97.0643
          36     96.4895
          37     96.1222
          38     96.2126
          39     96.2173
          40     96.1294
          41     96.2757
          42      96.353
          43     96.6125
          44     96.1286
          45     96.9212
          46     97.1821
          47     96.9288
          48     95.9994
          49     95.4165
          50     95.0868
          51     96.1256
          52     96.4508
          53     95.3262
          54     97.4345
          55     95.4924
          56     94.9063
          57     95.4169
          58     96.4777
          59     97.1872
          60     97.4093
          61     96.8908
          62     96.2311
          63     95.5406
          64     96.1289
          65     95.7021
          66      94.109
          67     93.5088
          68     94.1791
          69     94.3683
          70     95.6876
          71     94.9793
          72     95.3185
          73     94.8689
          74      93.956
          75     93.4634
          76     95.3018
          77     94.6686
          78     96.1527
          79     94.3803
          80     93.4652
          81     92.7985
          82      92.187
          83     92.8591
          84     92.9255
          85     92.0414
          86     92.4266
          87     93.1436
          88     94.2439
          89     94.0186
          90      92.809
          91     92.2366
          92     91.1617
          93     90.9452
          94     91.3664
          95     90.8057
          96     91.8494
          97     91.8822
          98      91.556
          99     91.1694
           0     91.1867
           1     93.2332
           2     95.0361
           3     96.3812
           4     97.7278
           5     97.2294
           6     95.8864
           7      94.881
           8     94.3438
           9     93.9043
          10     93.4523
          11     92.6807
          12     91.1478
          13     91.7241
          14     90.5721
          15     89.9007
          16     90.5524
          17     90.6352
          18     90.5334
          19     90.2481
          20     89.8827
          21     89.9939
          22     88.6104
          23     89.6806
          24     90.3088
          25     89.6332
          26     89.5918
          27     90.6319
          28     90.1323
          29     90.3526
          30      89.325
          31     89.9814
          32     89.0109
          33     89.4618
          34     89.6325
          35     89.6586
          36     90.1571
          37     89.6974
          38     89.8045
          39     89.5237
          40     89.5608
          41     90.9228
          42     89.4644
          43     88.8442
          44     90.1471
          45      89.114
          46     87.8235
          47     87.3111
          48     86.9738
          49     86.7474
          50     87.8044
          51     87.8977
          52     88.1909
          53     87.7821
          54     88.5148
          55     89.0187
          56     89.5552
          57      89.449
          58     87.8661
          59     87.6798
          60     87.7442
          61     87.7648
          62     87.7698
          63     88.9383
          64     88.6453
          65      89.888
          66     87.2824
          67     87.2694
          68     89.1289
          69     87.9197
          70     88.0729
          71     87.4955
          72     87.5158
          73     88.3483
          74     87.3011
          75     87.6143
          76     88.1192
          77     87.4013
          78     86.3576
          79      87.612
          80     87.9329
          81     87.8871
          82     87.2337
          83     87.8971
          84     86.5909
          85     86.9593
          86     86.5932
          87     87.1482
          88     87.0946
          89     87.1559
          90     85.8966
          91     85.9633
          92     86.2253
          93     86.1157
          94     86.1194
          95     86.1454
          96     87.0943
          97     86.7463
          98     87.2803
          99     86.7468
           0      86.616
           1     88.0907
           2      88.304
           3     89.7343
           4     89.0513
           5     86.4886
           6     85.7735
           7     85.1459
           8     84.0093
           9     82.8463
          10      83.538
          11     82.8533
          12     82.8188
          13     82.1797
          14     81.0108
          15     82.2061
          16     81.9578
          17     81.9693
          18     81.2905
          19     81.2808
          20     80.6123
          21     80.2533
          22     81.3547
          23     82.5652
          24     81.6451
          25     82.3803
          26     81.1832
          27     80.3362
          28     80.0782
          29     81.7502
          30     81.8466
          31     83.2931
          32     81.8143
          33     81.9942
          34     82.2873
          35      81.983
          36     81.3829
          37     80.6985
          38     80.1772
          39     80.9998
          40     80.1813
          41     81.0004
          42     80.5708
          43     80.7627
          44     79.3807
          45     79.2353
          46      79.851
          47     80.3627
          48     81.1435
          49     81.0514
          50     80.8478
          51     81.4066
          52     83.1614
          53     81.8757
          54     82.8802
          55     83.0308
          56     84.0081
          57     82.2013
          58     81.7966
          59     82.0938
          60     82.4925
          61     82.2475
          62     82.0009
          63     81.8795
          64     82.4732
          65     82.3258
          66     81.3437
          67     83.7821
          68     83.1347
          69      83.423
          70     82.4596
          71     79.9618
          72     79.0994
          73     80.8047
          74     80.4079
          75     80.8695
          76     81.0471
          77     80.4848
          78     80.6362
          79     80.3555
          80     80.5077
          81     81.5897
          82     81.6225
          83     82.8458
          84     80.7508
          85     81.7135
          86      80.668
          87     82.4224
          88      81.158
          89     79.4506
          90     79.9825
          91     80.7039
          92      79.901
          93     79.8692
          94     79.8113
          95     79.8086
          96     82.2443
          97     81.4823
          98     81.1192
          99     80.4578
           0     80.5518
           1     80.2348
           2     80.8653
           3     80.4301
           4     79.8272
           5     79.5409
           6     78.8745
           7     79.2424
           8     82.1502
           9      81.277
          10     79.3013
          11     80.0678
          12     78.8744
          13     78.7099
          14     78.3824
