#BLOCK     AVERAGE       ERROR
1     3.12207           0
2     3.14432    0.022244
3     3.14049   0.0134011
4     3.14851   0.0124175
5     3.14597  0.00995007
6      3.1531   0.0108124
7     3.14114   0.0150531
8      3.1422   0.0130792
9     3.15011   0.0139851
10     3.14231   0.0147365
11     3.14226   0.0133298
12      3.1409   0.0122438
13     3.13382   0.0133065
14     3.13367   0.0123202
15      3.1329   0.0114955
16     3.12858   0.0115897
17     3.12952   0.0109276
18      3.1308    0.010382
19     3.13148  0.00984371
20     3.13279  0.00942917
21     3.12892  0.00976719
22     3.12936  0.00932333
23     3.13212  0.00932653
24     3.13199  0.00893048
25     3.13183  0.00856735
26     3.13001  0.00842999
27      3.1317  0.00828574
28     3.13234  0.00800991
29      3.1302  0.00801927
30     3.12909   0.0078263
31     3.12956  0.00758422
32      3.1292  0.00735199
33     3.12931  0.00712657
34       3.131  0.00711713
35      3.1297  0.00703219
36     3.13148  0.00706267
37     3.13273  0.00698143
38     3.13181  0.00685679
39     3.13174  0.00667908
40     3.13135  0.00652149
41     3.13091  0.00637562
42     3.13273  0.00648156
43      3.1325  0.00633304
44     3.13303   0.0062096
45     3.13456  0.00626083
46     3.13612  0.00631791
47      3.1345  0.00639078
48     3.13297  0.00644131
49     3.13373  0.00635502
50     3.13526  0.00641203
51     3.13586  0.00631306
52     3.13618  0.00619881
53     3.13597  0.00608439
54     3.13575  0.00597475
55     3.13464   0.0059681
56     3.13557  0.00593394
57     3.13542  0.00583087
58     3.13516  0.00573552
59     3.13547  0.00564611
60     3.13631  0.00561405
61      3.1374  0.00562869
62     3.13869  0.00568589
63     3.13794  0.00564549
64      3.1385  0.00558444
65     3.14054  0.00586457
66      3.1401  0.00579189
67     3.13935  0.00575313
68     3.14082  0.00585571
69     3.14123  0.00578421
70     3.14193  0.00574482
71     3.14175  0.00566629
72     3.14233  0.00561734
73     3.14222  0.00554108
74     3.14296  0.00551547
75     3.14215   0.0055006
76     3.14233  0.00543061
77     3.14229  0.00535972
78     3.14226  0.00529067
79     3.14181  0.00524279
80     3.14357  0.00546938
81     3.14319  0.00541517
82     3.14285  0.00535956
83     3.14279  0.00529495
84     3.14312  0.00524198
85     3.14304  0.00518048
86     3.14274   0.0051287
87     3.14169  0.00517659
88     3.14198  0.00512522
89     3.14167  0.00507684
90     3.14169  0.00502016
91     3.14153  0.00496733
92      3.1416  0.00491365
93     3.14269  0.00498023
94     3.14339  0.00497603
95     3.14335  0.00492352
96     3.14296  0.00488702
97     3.14367  0.00488742
98     3.14283  0.00490881
99     3.14256  0.00486695
100     3.14247  0.00481883
