#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      3.3339      3.3339           0
           2     2.85743     3.09566    0.168458
           3     2.74706     2.97946    0.147018
           4     2.68968     2.90702    0.126863
           5     2.71478     2.86857    0.107158
           6     2.63992     2.83046   0.0958349
           7     2.59548     2.79689   0.0878269
           8     2.55218      2.7663   0.0820025
           9     2.53677      2.7408   0.0767546
          10     2.53057     2.71978   0.0719006
          11     2.56878     2.70605   0.0666617
          12       2.478     2.68705   0.0637578
          13      2.4894     2.67184    0.060639
          14     2.52206     2.66114   0.0572436
          15     2.55929     2.65435   0.0538286
          16     2.54305      2.6474   0.0509119
          17     2.57537     2.64316    0.048093
          18     2.59105     2.64026   0.0455082
          19     2.60213     2.63826   0.0431573
          20     2.52921     2.63281   0.0413424
