#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.14015    -1.14015           0
           2   -0.660905   -0.900527    0.169438
           3   -0.550112   -0.783722    0.147835
           4   -0.492906   -0.711018    0.127507
           5   -0.518149   -0.672444    0.107682
           6   -0.443085   -0.634218   0.0962815
           7   -0.398515   -0.600546   0.0882186
           8   -0.355234   -0.569882   0.0823483
           9   -0.339805   -0.544318   0.0770644
          10   -0.333596   -0.523245   0.0721815
          11   -0.371808   -0.509478   0.0669195
          12   -0.280865   -0.490427   0.0639973
          13   -0.292334   -0.475189   0.0608615
          14   -0.325089   -0.464468   0.0574508
          15   -0.362351    -0.45766   0.0540226
          16   -0.345949   -0.450678   0.0510954
          17   -0.378278   -0.446419   0.0482669
          18    -0.39411   -0.443513   0.0456728
          19   -0.405207   -0.441497   0.0433135
          20   -0.332233   -0.436034   0.0414909
