#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.2226      2.2226           0
           2     1.90495     2.06377    0.112305
           3     1.83137     1.98631    0.098012
           4     1.79312     1.93801   0.0845751
           5     1.80985     1.91238   0.0714386
           6     1.75995     1.88697   0.0638899
           7     1.73032     1.86459   0.0585513
           8     1.70146      1.8442   0.0546683
           9     1.69118      1.8272   0.0511697
          10     1.68705     1.81318   0.0479337
          11     1.71252     1.80403   0.0444411
          12       1.652     1.79136   0.0425052
          13      1.6596     1.78123    0.040426
          14     1.68138      1.7741   0.0381624
          15     1.70619     1.76957   0.0358857
          16     1.69536     1.76493   0.0339413
          17     1.71691     1.76211    0.032062
          18     1.72737     1.76018   0.0303388
          19     1.73476     1.75884   0.0287715
          20     1.68614      1.7552   0.0275616
