#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.19375     2.19375           0
           2     2.19652     2.19513 0.000980552
           3     2.19694     2.19574 0.000818614
           4     2.19678       2.196 0.000654025
           5     2.19663     2.19612 0.000535256
           6     2.19684     2.19624  0.00045905
           7     2.19696     2.19635 0.000404797
           8     2.19695     2.19642 0.000361147
           9     2.19697     2.19648 0.000326083
          10     2.19698     2.19653 0.000297181
          11     2.19697     2.19657 0.000272825
          12     2.19714     2.19662 0.000254128
          13     2.19706     2.19665 0.000236878
          14     2.19698     2.19668 0.000221081
          15     2.19694     2.19669 0.000207049
          16      2.1971     2.19672 0.000195631
          17     2.19709     2.19674 0.000185365
          18     2.19694     2.19675 0.000175411
          19     2.19693     2.19676 0.000166419
          20     2.19698     2.19677 0.000158447
