   #BLOCK      # VELOCITY:     AVE_POFV:        ERROR:
           1   0.0666667   0.0295486   0.0295486           0
           1         0.2   0.0423611   0.0423611           0
           1    0.333333     0.05125     0.05125           0
           1    0.466667   0.0693056   0.0693056           0
           1         0.6    0.157708    0.157708           0
           1    0.733333    0.116806    0.116806           0
           1    0.866667    0.247986    0.247986           0
           1           1    0.319306    0.319306           0
           1     1.13333     0.43691     0.43691           0
           1     1.26667    0.631771    0.631771           0
           1         1.4    0.516528    0.516528           0
           1     1.53333    0.642882    0.642882           0
           1     1.66667    0.576007    0.576007           0
           1         1.8    0.501285    0.501285           0
           1     1.93333    0.498229    0.498229           0
           1     2.06667    0.453194    0.453194           0
           1         2.2    0.336563    0.336563           0
           1     2.33333    0.304375    0.304375           0
           1     2.46667        0.25        0.25           0
           1         2.6    0.197708    0.197708           0
           1     2.73333     0.14809     0.14809           0
           1     2.86667    0.163646    0.163646           0
           1           3    0.229688    0.229688           0
           1     3.13333    0.127743    0.127743           0
           1     3.26667    0.127049    0.127049           0
           1         3.4    0.144514    0.144514           0
           1     3.53333   0.0866667   0.0866667           0
           1     3.66667   0.0209375   0.0209375           0
           1         3.8  0.00944444  0.00944444           0
           1     3.93333   0.0106944   0.0106944           0
           2   0.0666667 0.000486111   0.0150174   0.0102751
           2         0.2   0.0167014   0.0295312  0.00907208
           2    0.333333   0.0569444   0.0540972  0.00201329
           2    0.466667       0.125   0.0971528    0.019691
           2         0.6    0.127292      0.1425   0.0107539
           2    0.733333    0.203646    0.160226   0.0307027
           2    0.866667    0.308924    0.278455   0.0215447
           2           1    0.301528    0.310417  0.00628539
           2     1.13333    0.467326    0.452118   0.0107539
           2     1.26667    0.328333    0.480052    0.107281
           2         1.4    0.480833    0.498681   0.0126199
           2     1.53333    0.486111    0.564497   0.0554269
           2     1.66667    0.706736    0.641372   0.0462197
           2         1.8    0.655556     0.57842    0.054543
           2     1.93333    0.591076    0.544653   0.0328265
           2     2.06667    0.441875    0.447535  0.00400203
           2         2.2    0.276667    0.306615   0.0211764
           2     2.33333    0.295451    0.299913  0.00315497
           2     2.46667    0.189444    0.219722   0.0214096
           2         2.6    0.186806    0.192257  0.00385471
           2     2.73333    0.263646    0.205868   0.0408551
           2     2.86667    0.223056    0.193351   0.0210045
           2           3    0.141875    0.185781   0.0310464
           2     3.13333    0.259062    0.193403   0.0464284
           2     3.26667    0.103611     0.11533  0.00828641
           2         3.4   0.0918403    0.118177   0.0186229
           2     3.53333   0.0822569   0.0844618  0.00155907
           2     3.66667   0.0554861   0.0382118   0.0122148
           2         3.8   0.0262153   0.0178299  0.00592938
           2     3.93333  0.00621528  0.00845486  0.00158362
           3   0.0666667           0   0.0100116  0.00797678
           3         0.2    0.010625   0.0232292  0.00794081
           3    0.333333   0.0440625   0.0507523  0.00304309
           3    0.466667   0.0774653   0.0905903   0.0141788
           3         0.6    0.140903    0.141968  0.00718244
           3    0.733333    0.218958    0.179803   0.0259707
           3    0.866667     0.33184     0.29625   0.0204306
           3           1    0.349375    0.323403   0.0114011
           3     1.13333     0.45566    0.453299  0.00723379
           3     1.26667    0.442639    0.467581   0.0722421
           3         1.4    0.456632    0.484664    0.014204
           3     1.53333    0.625243    0.584745   0.0404813
           3     1.66667    0.682257       0.655   0.0327609
           3         1.8    0.499236    0.552025   0.0422687
           3     1.93333    0.500625    0.529977   0.0249502
