#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.358232   -0.358232           0
           2   -0.369909   -0.364071  0.00412847
           3   -0.369568   -0.365903  0.00313275
           4    -0.40417    -0.37547  0.00861174
           5   -0.349358   -0.370248  0.00832356
           6   -0.374046   -0.370881  0.00696033
           7   -0.348996   -0.367754   0.0066311
           8   -0.400021   -0.371788  0.00692098
           9   -0.324578   -0.366542  0.00789333
          10   -0.372161   -0.367104  0.00712397
          11   -0.332365   -0.363946  0.00714212
          12   -0.346886   -0.362524  0.00668694
          13   -0.318851   -0.359165  0.00696552
          14   -0.333249   -0.357314  0.00670944
          15   -0.422101   -0.361633  0.00752501
          16   -0.351898   -0.361024  0.00707926
          17   -0.393235   -0.362919  0.00691174
          18   -0.377316   -0.363719  0.00657387
          19   -0.404496   -0.365865  0.00656888
          20   -0.337003   -0.364422  0.00639699
