#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.30341     1.30341           0
           2     1.31128     1.30734  0.00278349
           3     1.31097     1.30855   0.0021018
           4     1.33409     1.31494  0.00574873
           5     1.29755     1.31146  0.00555176
           6     1.31396     1.31188  0.00464211
           7     1.29729     1.30979  0.00442192
           8     1.33128     1.31248  0.00461324
           9     1.28109     1.30899  0.00525622
          10     1.31268     1.30936  0.00474352
          11     1.28622     1.30726  0.00475599
          12     1.29589     1.30631  0.00445294
          13     1.27724     1.30407    0.004638
          14      1.2868     1.30284   0.0044678
          15     1.34602     1.30572  0.00501217
          16     1.29917     1.30531  0.00471557
          17     1.32688     1.30658  0.00460578
          18     1.31622     1.30711  0.00438096
          19      1.3343     1.30854  0.00437776
          20     1.28939     1.30759  0.00426239
