#   T:  ACCEPTANCE:
         0.5     0.01487
         0.5   0.0156395
         0.5   0.0156013
         0.5   0.0151765
         0.5   0.0148584
         0.5    0.015069
         0.5   0.0158877
         0.5     0.01519
         0.5   0.0149753
         0.5     0.01501
         0.5   0.0148432
         0.5   0.0147897
         0.5   0.0146474
         0.5   0.0147681
         0.5   0.0144747
         0.5   0.0143065
         0.5   0.0142106
         0.5   0.0141421
         0.5   0.0140496
         0.5   0.0139713
       0.525     0.02223
       0.525    0.021164
       0.525    0.019238
       0.525    0.020988
       0.525   0.0211812
       0.525    0.021522
       0.525    0.021504
       0.525   0.0221618
       0.525   0.0216058
       0.525   0.0214586
       0.525   0.0213035
       0.525   0.0207205
       0.525   0.0207595
       0.525   0.0206084
       0.525   0.0204328
       0.525   0.0203443
       0.525   0.0201756
       0.525   0.0204676
       0.525   0.0204285
       0.525   0.0202527
        0.55    0.029837
        0.55    0.025555
        0.55   0.0255983
        0.55    0.026503
        0.55   0.0273404
        0.55    0.028164
        0.55   0.0275486
        0.55   0.0275903
        0.55    0.028127
        0.55   0.0277155
        0.55     0.02733
        0.55   0.0277253
        0.55   0.0279149
        0.55   0.0282241
        0.55   0.0278831
        0.55    0.027852
        0.55   0.0280247
        0.55   0.0278711
        0.55   0.0279057
        0.55   0.0277719
       0.575    0.041937
       0.575   0.0405815
       0.575   0.0372043
       0.575   0.0364558
       0.575   0.0359388
       0.575   0.0367012
       0.575   0.0364401
       0.575   0.0363609
       0.575   0.0361157
       0.575   0.0354621
       0.575   0.0361459
       0.575   0.0360109
       0.575   0.0361685
       0.575   0.0361034
       0.575   0.0361271
       0.575   0.0361824
       0.575   0.0358843
       0.575   0.0362976
       0.575   0.0360429
       0.575    0.036185
         0.6    0.048176
         0.6   0.0473095
         0.6   0.0494667
         0.6   0.0472477
         0.6   0.0481662
         0.6    0.048688
         0.6   0.0483834
         0.6   0.0490221
         0.6   0.0488149
         0.6   0.0475944
         0.6   0.0475207
         0.6   0.0471207
         0.6   0.0467665
         0.6   0.0472545
         0.6   0.0475409
         0.6   0.0473414
         0.6   0.0471677
         0.6   0.0471164
         0.6   0.0471701
         0.6   0.0471531
       0.625    0.057316
       0.625   0.0613685
       0.625    0.059829
       0.625     0.05898
       0.625    0.058998
       0.625   0.0593515
       0.625   0.0603196
       0.625   0.0603767
       0.625   0.0598564
       0.625   0.0604204
       0.625   0.0602127
       0.625    0.059962
       0.625   0.0597558
       0.625   0.0598938
       0.625   0.0597895
       0.625   0.0596132
       0.625   0.0593112
       0.625   0.0589321
       0.625    0.058922
       0.625   0.0591207
        0.65    0.071702
        0.65    0.068396
        0.65   0.0689973
        0.65   0.0695175
        0.65    0.070134
        0.65   0.0703492
        0.65    0.070547
        0.65   0.0709035
        0.65   0.0707482
        0.65    0.071054
        0.65   0.0706125
        0.65   0.0709342
        0.65   0.0707892
        0.65   0.0706886
        0.65   0.0704641
        0.65   0.0704939
        0.65    0.070748
        0.65   0.0707032
        0.65   0.0704993
        0.65   0.0705102
       0.675    0.077018
       0.675    0.081488
       0.675    0.081332
       0.675    0.081926
       0.675    0.081413
       0.675   0.0807978
       0.675   0.0812554
       0.675   0.0816049
       0.675   0.0818487
       0.675   0.0825208
       0.675   0.0827088
       0.675   0.0825742
       0.675   0.0821078
       0.675   0.0818536
       0.675   0.0822349
       0.675   0.0822087
       0.675   0.0821129
       0.675    0.082033
       0.675   0.0820485
       0.675   0.0819338
         0.7    0.092384
         0.7    0.093917
