#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         0.5           1    0.928008    0.928008           0
         0.5           2    0.949096    0.938552  0.00745573
         0.5           3     0.94002    0.939041  0.00498652
         0.5           4      0.8942    0.927831   0.0104039
         0.5           5     0.86608    0.915481    0.013831
         0.5           6    0.950892    0.921383   0.0127229
         0.5           7    0.733882    0.894597   0.0270907
         0.5           8    0.925906     0.89851   0.0239854
         0.5           9    0.927212      0.9017   0.0215313
         0.5          10    0.899052    0.901435   0.0193798
         0.5          11     0.94964    0.905817   0.0181067
         0.5          12     0.94356    0.908962   0.0168688
         0.5          13    0.939956    0.911346   0.0157388
         0.5          14    0.865616     0.90808   0.0149497
         0.5          15    0.946832    0.910663   0.0141745
         0.5          16    0.901174     0.91007    0.013301
         0.5          17     0.79194    0.903122   0.0142183
         0.5          18    0.890516    0.902421   0.0134457
         0.5          19    0.903908    0.902499   0.0127382
         0.5          20    0.933342    0.904042   0.0121943
       0.525           1    0.815986    0.815986           0
       0.525           2    0.823896    0.819941  0.00279661
       0.525           3    0.926494    0.855459   0.0290599
       0.525           4      0.7809    0.836819   0.0271219
       0.525           5     0.70179    0.809813    0.032469
       0.525           6    0.934966    0.830672    0.033086
       0.525           7    0.919372    0.843343   0.0306901
       0.525           8    0.884812    0.848527   0.0272881
       0.525           9     0.71834    0.834062   0.0278272
       0.525          10    0.904476    0.841103     0.02592
       0.525          11    0.852562    0.842145   0.0235846
       0.525          12    0.801064    0.838721   0.0218662
       0.525          13     0.93603    0.846207   0.0214271
       0.525          14    0.882798     0.84882   0.0200554
       0.525          15    0.797862    0.845423   0.0190039
       0.525          16    0.933226    0.850911   0.0185916
       0.525          17    0.887352    0.853054   0.0176212
       0.525          18    0.930758    0.857371   0.0171628
       0.525          19    0.881152    0.858623   0.0163051
       0.525          20    0.939968     0.86269   0.0159891
        0.55           1     0.78931     0.78931           0
        0.55           2    0.775258    0.782284  0.00496813
        0.55           3    0.777152    0.780573  0.00359456
        0.55           4    0.695474    0.759298   0.0186207
        0.55           5    0.869568    0.781352   0.0247186
        0.55           6    0.745668    0.775405   0.0213023
        0.55           7    0.856392    0.786975    0.021169
        0.55           8    0.868782      0.7972    0.020847
        0.55           9    0.614318     0.77688   0.0266537
        0.55          10    0.736818    0.772874   0.0242875
        0.55          11     0.62193    0.759152   0.0256649
        0.55          12    0.759122    0.759149   0.0235262
        0.55          13    0.735652    0.757342   0.0217858
        0.55          14    0.790688    0.759724   0.0203595
        0.55          15    0.735472    0.758107   0.0190662
        0.55          16     0.73181    0.756463   0.0179453
        0.55          17      0.7257    0.754654   0.0169807
        0.55          18     0.71474    0.752436   0.0161815
        0.55          19    0.842116    0.757156   0.0160034
        0.55          20     0.63507    0.751052    0.016326
       0.575           1    0.650942    0.650942           0
       0.575           2    0.552454    0.601698   0.0348208
       0.575           3    0.823618    0.675671   0.0647064
       0.575           4    0.868544    0.723889   0.0640225
       0.575           5     0.56553    0.692218   0.0585301
       0.575           6    0.620868    0.680326   0.0499685
       0.575           7    0.653212    0.676453     0.04298
       0.575           8    0.688878    0.678006   0.0376356
       0.575           9      0.7204    0.682716   0.0337473
       0.575          10    0.727348    0.687179   0.0306663
