#      T        BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         0.5           1    0.914502    0.914502           0
         0.5           2    0.822726    0.868614   0.0324477
         0.5           3     0.85609    0.864439   0.0218987
         0.5           4    0.834578    0.856974   0.0176507
         0.5           5    0.854366    0.856452   0.0141283
         0.5           6     0.86045    0.857119   0.0117893
         0.5           7    0.896448    0.862737   0.0113653
         0.5           8    0.922398    0.870195   0.0121474
         0.5           9    0.903352    0.873879   0.0113426
         0.5          10     0.89837    0.876328   0.0104694
         0.5          11    0.927894    0.881016   0.0105149
         0.5          12      0.9013    0.882706  0.00977362
         0.5          13     0.93853       0.887  0.00992039
         0.5          14    0.872544    0.885968  0.00926537
         0.5          15     0.94206    0.889707  0.00937197
         0.5          16    0.938718     0.89277  0.00927331
         0.5          17    0.836806    0.889478  0.00929381
         0.5          18    0.952824    0.892998  0.00942024
         0.5          19    0.910924    0.893941  0.00897156
         0.5          20     0.94372     0.89643  0.00886151
       0.525           1    0.886988    0.886988           0
       0.525           2    0.889172     0.88808 0.000772161
       0.525           3    0.770148    0.848769   0.0321012
       0.525           4    0.841094     0.84685   0.0241331
       0.525           5    0.818474    0.841175   0.0199627
       0.525           6    0.764278    0.828359   0.0203377
       0.525           7    0.807076    0.825319   0.0176581
       0.525           8    0.906404    0.835454   0.0181279
       0.525           9    0.751238    0.826097   0.0183707
       0.525          10    0.835986    0.827086   0.0165602
       0.525          11    0.927052    0.836174   0.0173702
       0.525          12     0.83997     0.83649   0.0159256
       0.525          13    0.907948    0.841987   0.0156204
       0.525          14    0.896628     0.84589   0.0149843
       0.525          15    0.862852    0.847021    0.014028
       0.525          16    0.764944    0.841891   0.0140579
       0.525          17     0.77498    0.837955   0.0137709
       0.525          18     0.86573    0.839498    0.013092
       0.525          19     0.91691    0.843572   0.0130215
       0.525          20    0.779512    0.840369   0.0127583
        0.55           1    0.826618    0.826618           0
        0.55           2    0.849644    0.838131  0.00814092
        0.55           3    0.825742    0.834001  0.00638943
        0.55           4    0.688942    0.797736   0.0317698
        0.55           5    0.805218    0.799233    0.025451
        0.55           6    0.861136     0.80955   0.0232063
        0.55           7    0.778628    0.805133   0.0203072
        0.55           8    0.815696    0.806453   0.0178117
        0.55           9    0.827286    0.808768   0.0159823
        0.55          10    0.825808    0.810472   0.0144746
        0.55          11    0.817522    0.811113   0.0131729
        0.55          12     0.73116     0.80445   0.0136566
        0.55          13    0.749064     0.80019    0.013254
        0.55          14    0.853942    0.804029   0.0128514
        0.55          15     0.83583    0.806149   0.0121683
        0.55          16     0.80678    0.806188   0.0114078
        0.55          17    0.845432    0.808497   0.0109678
        0.55          18    0.846422    0.810604   0.0105589
        0.55          19    0.806702    0.810399   0.0100052
        0.55          20     0.78409    0.809083  0.00959103
       0.575           1     0.80996     0.80996           0
       0.575           2    0.816328    0.813144  0.00225143
       0.575           3    0.805102    0.810463  0.00265396
       0.575           4    0.685334    0.779181   0.0271643
       0.575           5    0.756158    0.774576   0.0221183
       0.575           6    0.714538     0.76457   0.0205712
       0.575           7    0.761196    0.764088   0.0176381
       0.575           8    0.795624     0.76803   0.0158677
       0.575           9    0.732478     0.76408   0.0145881
       0.575          10    0.760084     0.76368   0.0131347
       0.575          11    0.750912    0.762519   0.0119918
       0.575          12    0.741162     0.76074   0.0111238
       0.575          13    0.685408    0.754945   0.0116804
       0.575          14    0.698902    0.750942   0.0115116
       0.575          15    0.717216    0.748693   0.0109615
       0.575          16    0.654802    0.742825   0.0117426
       0.575          17    0.840148     0.74855   0.0123689
       0.575          18    0.598134    0.740194   0.0142272
       0.575          19    0.709298    0.738568    0.013571
       0.575          20    0.738452    0.738562   0.0128925
         0.6           1    0.706448    0.706448           0
         0.6           2    0.646648    0.676548   0.0211425
         0.6           3     0.52302    0.625372   0.0440983
         0.6           4    0.571514    0.611907   0.0350691
         0.6           5    0.649724    0.619471   0.0288593
         0.6           6    0.589982    0.614556   0.0244643
         0.6           7    0.695246    0.626083   0.0235289
         0.6           8    0.811546    0.649266   0.0299019
         0.6           9    0.590192    0.642702   0.0272903
         0.6          10    0.735352    0.651967   0.0260867
         0.6          11    0.709868    0.657231   0.0242404
         0.6          12    0.571354    0.650074   0.0232527
         0.6          13    0.715614    0.655116   0.0220038
         0.6          14    0.696754     0.65809   0.0206321
         0.6          15    0.654996    0.657884   0.0192577
         0.6          16     0.69435    0.660163   0.0181885
         0.6          17    0.699756    0.662492    0.017267
         0.6          18    0.702408     0.66471   0.0164495
         0.6          19    0.689196    0.665998   0.0156342
         0.6          20    0.596664    0.662532    0.015232
       0.625           1    0.596788    0.596788           0
       0.625           2    0.634982    0.615885   0.0135036
       0.625           3    0.534294    0.588688   0.0239617
       0.625           4    0.524294    0.572589    0.022745
       0.625           5    0.572242     0.57252   0.0181961
       0.625           6    0.626352    0.581492    0.017234
       0.625           7    0.534488    0.574777   0.0160269
       0.625           8    0.619322    0.580345   0.0149595
       0.625           9    0.676952    0.591079   0.0167104
       0.625          10     0.59302    0.591273   0.0150405
       0.625          11     0.59735    0.591826   0.0136833
       0.625          12    0.560122    0.589184   0.0127956
       0.625          13    0.636366    0.592813   0.0123153
       0.625          14    0.610342    0.594065   0.0114991
       0.625          15    0.701998    0.601261   0.0127871
       0.625          16    0.624988    0.602744   0.0120736
       0.625          17    0.516266    0.597657   0.0123887
       0.625          18    0.645946     0.60034   0.0119874
       0.625          19    0.606782    0.600679   0.0113613
       0.625          20    0.660334    0.603661   0.0111779
        0.65           1    0.529784    0.529784           0
        0.65           2    0.534718    0.532251  0.00174443
        0.65           3    0.550824    0.538442  0.00518698
        0.65           4    0.551362    0.541672  0.00479152
        0.65           5    0.548672    0.543072  0.00403256
        0.65           6    0.545592    0.543492  0.00338227
        0.65           7    0.576048    0.548143  0.00519087
        0.65           8    0.588292    0.553161   0.0065321
        0.65           9     0.55367    0.553218  0.00580655
        0.65          10    0.642728    0.562169  0.00997088
        0.65          11    0.530202    0.559263  0.00947848
        0.65          12    0.617704    0.564133  0.00986069
        0.65          13    0.514004    0.560277  0.00982726
        0.65          14     0.53012    0.558123  0.00935842
        0.65          15      0.6421    0.563721   0.0102735
        0.65          16    0.528062    0.561493  0.00987021
        0.65          17    0.499072    0.557821  0.00994917
        0.65          18    0.616798    0.561097   0.0099213
        0.65          19    0.438764    0.554659   0.0112968
        0.65          20    0.650016    0.559427   0.0116949
       0.675           1    0.550282    0.550282           0
       0.675           2    0.488112    0.519197   0.0219804
       0.675           3    0.505614    0.514669   0.0151127
       0.675           4    0.456102    0.500028   0.0170076
       0.675           5    0.382394    0.476501   0.0250585
       0.675           6    0.462062    0.474094   0.0209974
       0.675           7    0.497276    0.477406    0.018257
       0.675           8     0.51068    0.481565   0.0164418
       0.675           9    0.538868    0.487932   0.0157997
       0.675          10    0.518204    0.490959   0.0145069
       0.675          11    0.471666    0.489205   0.0132937
       0.675          12    0.491752    0.489418   0.0121875
       0.675          13    0.487046    0.489235   0.0112514
       0.675          14    0.472782     0.48806   0.0105089
       0.675          15    0.500238    0.488872  0.00983965
       0.675          16    0.514534    0.490476  0.00935448
       0.675          17    0.555832     0.49432  0.00956163
       0.675          18    0.447486    0.491718  0.00937776
       0.675          19    0.457434    0.489914  0.00905614
       0.675          20    0.510468    0.490942  0.00866145
         0.7           1     0.47422     0.47422           0
         0.7           2    0.454806    0.464513  0.00686389
         0.7           3    0.492038    0.473688  0.00877835
         0.7           4    0.486024    0.476772  0.00710488
         0.7           5     0.39024    0.459466   0.0164899
         0.7           6    0.491588    0.464819   0.0145848
