#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         0.5           1    0.289271    0.289271           0
         0.5           2    0.340809     0.31504   0.0182217
         0.5           3     0.37502    0.335033   0.0203483
         0.5           4    0.315699      0.3302   0.0158249
         0.5           5    0.332492    0.330658   0.0126666
         0.5           6    0.353223    0.334419   0.0110998
         0.5           7    0.351008    0.336789  0.00976378
         0.5           8    0.346597    0.338015  0.00861993
         0.5           9    0.285674    0.332199  0.00942189
         0.5          10    0.283266    0.327306  0.00966724
         0.5          11    0.285368    0.323493  0.00951051
         0.5          12    0.351074    0.325792  0.00899141
         0.5          13    0.307943    0.324419  0.00840394
         0.5          14    0.380921    0.328455  0.00871904
         0.5          15    0.261291    0.323977  0.00921605
         0.5          16    0.253083    0.319546  0.00964655
         0.5          17    0.343454    0.320953  0.00918105
         0.5          18    0.318538    0.320818  0.00867197
         0.5          19    0.355504    0.322644  0.00840551
         0.5          20    0.345677    0.323796  0.00806374
       0.525           1     0.38759     0.38759           0
       0.525           2    0.421079    0.404335   0.0118398
       0.525           3    0.355783    0.388151    0.015392
       0.525           4    0.389254    0.388426   0.0115464
       0.525           5    0.383828    0.387507  0.00927371
       0.525           6     0.37883    0.386061  0.00784003
       0.525           7    0.379176    0.385077  0.00678143
       0.525           8    0.351567    0.380888  0.00711071
       0.525           9    0.358102    0.378357  0.00675633
       0.525          10    0.392645    0.379785  0.00622995
       0.525          11    0.355087     0.37754  0.00605471
       0.525          12    0.368371    0.376776  0.00559815
       0.525          13    0.349521    0.374679  0.00554624
       0.525          14    0.370302    0.374367  0.00515888
       0.525          15    0.350221    0.372757  0.00505986
       0.525          16    0.373124     0.37278  0.00474367
       0.525          17    0.326876     0.37008  0.00517643
       0.525          18    0.377901    0.370514  0.00490705
       0.525          19    0.391075    0.371596  0.00476661
       0.525          20    0.351586    0.370596   0.0046321
        0.55           1    0.403201    0.403201           0
        0.55           2     0.35306    0.378131   0.0177275
        0.55           3    0.400993    0.385751   0.0133562
        0.55           4    0.397894    0.388787   0.0103564
        0.55           5    0.415478    0.394125  0.00956243
        0.55           6    0.404974    0.395933  0.00813784
        0.55           7    0.394302      0.3957  0.00697863
        0.55           8    0.396308    0.395776  0.00610671
        0.55           9    0.413001     0.39769  0.00572025
        0.55          10    0.409267    0.398848  0.00526408
        0.55          11    0.392406    0.398262  0.00481799
        0.55          12    0.397132    0.398168  0.00441741
        0.55          13    0.373969    0.396306  0.00445256
        0.55          14    0.383784    0.395412  0.00422341
        0.55          15    0.372861    0.393909  0.00420091
        0.55          16    0.409634    0.394891   0.0040517
        0.55          17    0.420404    0.396392  0.00408185
        0.55          18    0.392457    0.396174  0.00386093
        0.55          19    0.402351    0.396499  0.00367139
        0.55          20    0.375421    0.395445  0.00363593
       0.575           1      0.4056      0.4056           0
       0.575           2    0.435217    0.420408   0.0104714
       0.575           3    0.455795    0.432204   0.0118949
       0.575           4    0.412015    0.427157  0.00993445
       0.575           5    0.404391    0.422603  0.00893024
       0.575           6    0.425519    0.423089  0.00745508
       0.575           7    0.393631    0.418881   0.0074842
       0.575           8    0.405214    0.417173  0.00674085
       0.575           9    0.412371    0.416639  0.00601294
       0.575          10    0.402921    0.415267  0.00556592
       0.575          11    0.418467    0.415558  0.00506752
       0.575          12    0.407367    0.414876  0.00469098
       0.575          13    0.435456    0.416459   0.0045895
       0.575          14    0.401792    0.415411   0.0043796
       0.575          15     0.39118    0.413796  0.00437542
       0.575          16    0.388015    0.412184  0.00438864
       0.575          17    0.394801    0.411162  0.00424794
       0.575          18    0.442057    0.412878  0.00434488
       0.575          19    0.412026    0.412833  0.00411644
       0.575          20    0.437351    0.414059  0.00408908
         0.6           1    0.418152    0.418152           0
         0.6           2    0.418106    0.418129 1.63169e-05
         0.6           3    0.401914    0.412724   0.0044131
         0.6           4    0.416071     0.41356  0.00338822
         0.6           5    0.425693    0.415987  0.00347239
         0.6           6    0.391274    0.411868  0.00474458
         0.6           7    0.428989    0.414314  0.00465472
         0.6           8    0.445934    0.418267  0.00550076
         0.6           9    0.438629    0.420529  0.00533459
         0.6          10    0.431514    0.421628  0.00491293
         0.6          11    0.418591    0.421351  0.00447405
         0.6          12    0.420821    0.421307  0.00410143
         0.6          13     0.43106    0.422057  0.00385394
         0.6          14    0.429339    0.422578  0.00361359
         0.6          15    0.424479    0.422704   0.0033749
         0.6          16    0.411709    0.422017  0.00323318
         0.6          17    0.421343    0.421977  0.00304324
         0.6          18     0.41391    0.421529  0.00290699
         0.6          19    0.412073    0.421032  0.00279627
         0.6          20    0.380895    0.419025  0.00329889
       0.625           1    0.425097    0.425097           0
       0.625           2    0.435352    0.430224  0.00362566
       0.625           3    0.429033    0.429827  0.00243875
       0.625           4    0.416188    0.426418  0.00347356
       0.625           5     0.41533      0.4242  0.00341406
       0.625           6    0.414216    0.422536  0.00322521
       0.625           7    0.442287    0.425358  0.00380341
       0.625           8    0.417255    0.424345  0.00346019
       0.625           9    0.420824    0.423954  0.00309777
       0.625          10    0.413948    0.422953  0.00294514
       0.625          11    0.406974      0.4215  0.00301442
       0.625          12    0.442323    0.423236  0.00322419
       0.625          13    0.431698    0.423887  0.00304117
       0.625          14    0.418552    0.423506  0.00284772
       0.625          15    0.407441    0.422435  0.00285215
       0.625          16    0.421413    0.422371   0.0026746
       0.625          17    0.411825     0.42175  0.00258821
       0.625          18    0.439788    0.422752  0.00263127
       0.625          19    0.449749    0.424173  0.00285071
       0.625          20    0.437449    0.424837  0.00278438
        0.65           1    0.441564    0.441564           0
        0.65           2    0.430739    0.436152  0.00382746
        0.65           3     0.46248    0.444928  0.00760642
        0.65           4    0.396146    0.432732   0.0120038
        0.65           5    0.460737    0.438333   0.0108312
        0.65           6    0.433594    0.437543  0.00905472
        0.65           7    0.421426    0.435241  0.00804861
        0.65           8    0.433701    0.435048  0.00704483
        0.65           9    0.412406    0.432533  0.00669625
        0.65          10    0.415206      0.4308  0.00624677
        0.65          11    0.446364    0.432215  0.00583691
        0.65          12    0.377915     0.42769  0.00688454
        0.65          13    0.417274    0.426889  0.00640141
        0.65          14    0.398234    0.424842  0.00626284
        0.65          15    0.446779    0.426304  0.00601365
        0.65          16    0.435427    0.426875  0.00566476
        0.65          17    0.466754     0.42922  0.00579694
        0.65          18    0.440377     0.42984  0.00550793
        0.65          19    0.418853    0.429262  0.00524831
        0.65          20    0.450372    0.430317  0.00509093
       0.675           1    0.439653    0.439653           0
       0.675           2    0.447225    0.443439  0.00267706
       0.675           3     0.43431    0.440396  0.00305915
       0.675           4    0.421909    0.435774  0.00461349
       0.675           5    0.435285    0.435676  0.00369183
       0.675           6    0.454914    0.438883  0.00424641
       0.675           7    0.456712     0.44143  0.00433691
       0.675           8    0.416838    0.438356  0.00476114
       0.675           9    0.436111    0.438106  0.00423865
       0.675          10    0.448242     0.43912  0.00393409
       0.675          11    0.440724    0.439266  0.00357915
       0.675          12    0.459561    0.440957  0.00365873
       0.675          13    0.444441    0.441225  0.00338709
       0.675          14    0.433697    0.440687  0.00318755
       0.675          15     0.43293     0.44017  0.00301671
       0.675          16    0.445319    0.440492  0.00284528
       0.675          17    0.411538    0.438789  0.00314664
       0.675          18    0.466779    0.440344  0.00333398
       0.675          19    0.446332    0.440659  0.00317337
       0.675          20    0.435052    0.440379  0.00302706
         0.7           1    0.421697    0.421697           0
         0.7           2    0.419773    0.420735 0.000680094
         0.7           3    0.430313    0.423928  0.00264603
         0.7           4     0.41796    0.422436  0.00236803
         0.7           5     0.39852    0.417653  0.00467894
         0.7           6     0.39397    0.413705  0.00530907
         0.7           7    0.412683    0.413559  0.00455264
         0.7           8    0.431489    0.415801  0.00450151
         0.7           9    0.430132    0.417393  0.00427372
         0.7          10     0.42288    0.417942  0.00388141
         0.7          11    0.464359    0.422161   0.0053515
         0.7          12    0.413159    0.421411  0.00495784
         0.7          13    0.408521     0.42042  0.00467457
         0.7          14    0.422915    0.420598  0.00434407
         0.7          15    0.447249    0.422375  0.00440284
         0.7          16    0.405085    0.421294   0.0042582
         0.7          17    0.397548    0.419897  0.00423063
         0.7          18    0.447999    0.421458  0.00427397
         0.7          19    0.403321    0.420504  0.00415426
         0.7          20     0.43556    0.421257  0.00401417
       0.725           1    0.432399    0.432399           0
       0.725           2    0.443936    0.438167  0.00407907
       0.725           3    0.426875    0.434403   0.0041038
       0.725           4     0.43711     0.43508  0.00313314
       0.725           5    0.431198    0.434303  0.00260094
       0.725           6    0.446904    0.436403  0.00289367
       0.725           7    0.448766     0.43817  0.00297075
       0.725           8    0.431685    0.437359  0.00270775
       0.725           9     0.44199    0.437873  0.00245528
       0.725          10    0.426428    0.436729  0.00246213
       0.725          11    0.440604    0.437081  0.00226335
       0.725          12    0.420376    0.435689  0.00246598
       0.725          13    0.440035    0.436023  0.00229883
       0.725          14    0.462944    0.437946  0.00282667
       0.725          15    0.442708    0.438264  0.00265599
       0.725          16    0.460232    0.439637  0.00282267
       0.725          17    0.437408    0.439506  0.00265968
       0.725          18    0.426959    0.438809  0.00260165
       0.725          19    0.417312    0.437677  0.00269955
       0.725          20     0.41656    0.436621  0.00276335
        0.75           1    0.433727    0.433727           0
        0.75           2     0.43239    0.433059 0.000472644
        0.75           3    0.421005    0.429041  0.00329585
        0.75           4    0.445321    0.433111  0.00430517
        0.75           5    0.450079    0.436504  0.00459075
        0.75           6    0.424493    0.434503  0.00423968
        0.75           7    0.430663    0.433954  0.00366932
        0.75           8    0.446774    0.435557  0.00354334
        0.75           9    0.450591    0.437227  0.00352146
        0.75          10    0.409637    0.434468  0.00411042
        0.75          11    0.432775    0.434314  0.00373963
        0.75          12     0.41656    0.432835  0.00370914
        0.75          13    0.454525    0.434503  0.00378052
        0.75          14    0.443462    0.435143  0.00356423
        0.75          15    0.445064    0.435804  0.00338743
        0.75          16     0.42588    0.435184    0.003232
        0.75          17    0.435155    0.435182  0.00304188
        0.75          18    0.444027    0.435674   0.0029123
        0.75          19    0.423671    0.435042   0.0028267
        0.75          20    0.446715    0.435626  0.00274496
       0.775           1    0.457658    0.457658           0
       0.775           2     0.42952    0.443589  0.00994824
       0.775           3    0.413976    0.433718   0.0104376
       0.775           4    0.438342    0.434874  0.00789196
       0.775           5    0.449948    0.437889  0.00686532
       0.775           6    0.438275    0.437953  0.00572141
       0.775           7    0.444331    0.438864  0.00497608
       0.775           8    0.431248    0.437912  0.00444421
       0.775           9    0.454003      0.4397  0.00429502
       0.775          10    0.437474    0.439478  0.00387128
       0.775          11     0.45957    0.441304  0.00392669
       0.775          12    0.436197    0.440879  0.00362246
       0.775          13    0.438335    0.440683  0.00334909
       0.775          14    0.441756     0.44076  0.00311075
       0.775          15     0.43404    0.440312  0.00293544
       0.775          16    0.436742    0.440089  0.00276044
       0.775          17    0.435736    0.439833  0.00260991
       0.775          18    0.460999    0.441008  0.00271694
       0.775          19    0.434643    0.440673  0.00259452
       0.775          20    0.449047    0.441092  0.00249834
         0.8           1    0.446933    0.446933           0
         0.8           2    0.437127     0.44203  0.00346699
         0.8           3    0.435422    0.439827  0.00292872
         0.8           4    0.420662    0.435036    0.004695
         0.8           5    0.437154     0.43546  0.00377506
         0.8           6    0.445572    0.437145  0.00350196
         0.8           7    0.456131    0.439857  0.00391349
         0.8           8    0.438069    0.439634  0.00343068
         0.8           9    0.440085    0.439684  0.00304986
         0.8          10    0.428342     0.43855  0.00294823
         0.8          11    0.460375    0.440534  0.00328059
         0.8          12    0.409383    0.437938  0.00390133
         0.8          13    0.434335    0.437661  0.00361106
         0.8          14     0.44442    0.438143  0.00338525
         0.8          15     0.44937    0.438892  0.00324124
         0.8          16    0.449372    0.439547  0.00310414
         0.8          17    0.450669    0.440201   0.0029897
         0.8          18     0.43603    0.439969  0.00283257
         0.8          19    0.436714    0.439798  0.00268866
         0.8          20    0.438912    0.439754  0.00255459
       0.825           1    0.442014    0.442014           0
       0.825           2    0.443289    0.442652 0.000450744
       0.825           3    0.449175    0.444826  0.00180056
       0.825           4    0.446538    0.445254  0.00140034
       0.825           5    0.443345    0.444872  0.00117114
       0.825           6    0.428826    0.442198  0.00262927
       0.825           7    0.443294    0.442354  0.00225832
       0.825           8    0.441712    0.442274  0.00197746
       0.825           9    0.442751    0.442327  0.00175845
       0.825          10    0.456182    0.443713  0.00205725
       0.825          11    0.431782    0.442628  0.00213709
       0.825          12    0.439641    0.442379  0.00197344
       0.825          13    0.424353    0.440992  0.00225681
       0.825          14    0.439017    0.440851  0.00210001
       0.825          15    0.437129    0.440603  0.00197462
       0.825          16    0.438612    0.440479  0.00185512
       0.825          17    0.453487    0.441244  0.00189725
       0.825          18    0.446127    0.441515  0.00181114
       0.825          19    0.429854    0.440902  0.00181683
       0.825          20    0.451908    0.441452  0.00180742
        0.85           1    0.438637    0.438637           0
        0.85           2    0.424884    0.431761   0.0048622
        0.85           3    0.430463    0.431328  0.00326065
        0.85           4    0.436149    0.432533  0.00265894
        0.85           5    0.445466     0.43512  0.00314272
        0.85           6    0.436016    0.435269  0.00262248
        0.85           7    0.447256    0.436982  0.00275066
        0.85           8    0.444055    0.437866  0.00254498
        0.85           9    0.426326    0.436584  0.00256495
        0.85          10    0.439052     0.43683   0.0023203
        0.85          11    0.444797    0.437555  0.00221951
        0.85          12    0.421403    0.436209  0.00240833
        0.85          13    0.433819    0.436025  0.00223008
        0.85          14    0.448947    0.436948  0.00225373
        0.85          15    0.431922    0.436613  0.00212824
        0.85          16    0.449819    0.437438  0.00214933
        0.85          17    0.431572    0.437093  0.00205041
        0.85          18    0.445968    0.437586   0.0019949
        0.85          19    0.445451       0.438  0.00193237
        0.85          20    0.426198     0.43741  0.00192375
       0.875           1    0.432665    0.432665           0
       0.875           2    0.430071    0.431368 0.000916983
       0.875           3    0.443169    0.435302   0.0032696
       0.875           4    0.457616     0.44088   0.0054179
       0.875           5    0.428415    0.438387  0.00487431
       0.875           6    0.420552    0.435415  0.00488497
