#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         0.5           1    0.386504    0.386504           0
         0.5           2    0.377676     0.38209  0.00312103
         0.5           3     0.33673     0.36697   0.0125196
         0.5           4    0.384681    0.371398   0.0101424
         0.5           5     0.35862    0.368842  0.00842976
         0.5           6    0.368381    0.368765  0.00702515
         0.5           7    0.287958    0.357222   0.0122672
         0.5           8    0.346031    0.355823   0.0108132
         0.5           9    0.302289    0.349874   0.0111282
         0.5          10    0.343098    0.349197   0.0100359
         0.5          11    0.339862    0.348348   0.0091594
         0.5          12    0.339354    0.347599  0.00842672
         0.5          13    0.329286     0.34619  0.00789538
         0.5          14    0.334656    0.345366  0.00737428
         0.5          15    0.332174    0.344487  0.00693491
         0.5          16     0.30015    0.341716  0.00703334
         0.5          17    0.371598    0.343473  0.00683574
         0.5          18    0.362232    0.344516  0.00653493
         0.5          19    0.306963    0.342539  0.00648299
         0.5          20    0.325859    0.341705  0.00621225
       0.525           1    0.359274    0.359274           0
       0.525           2    0.400282    0.379778   0.0144988
       0.525           3    0.332835     0.36413   0.0160208
       0.525           4    0.368849     0.36531   0.0120589
       0.525           5    0.383874    0.369023   0.0102028
       0.525           6    0.369894    0.369168  0.00850333
       0.525           7     0.40392    0.374133   0.0086168
       0.525           8    0.376146    0.374384  0.00754337
       0.525           9    0.405126      0.3778  0.00743848
       0.525          10    0.321691    0.372189   0.0085529
       0.525          11    0.309978    0.366533  0.00946225
       0.525          12    0.404143    0.369668  0.00917811
       0.525          13    0.359006    0.368847  0.00850867
       0.525          14    0.376512    0.369395   0.0079185
       0.525          15    0.336276    0.367187  0.00769226
       0.525          16    0.345427    0.365827  0.00733073
       0.525          17    0.381352     0.36674  0.00695617
       0.525          18    0.387616      0.3679  0.00666569
       0.525          19    0.384169    0.368756  0.00636963
       0.525          20    0.364339    0.368535  0.00605498
        0.55           1    0.388464    0.388464           0
        0.55           2     0.44895    0.418707   0.0213851
        0.55           3    0.412105    0.416507   0.0143695
        0.55           4    0.392735    0.410564    0.011943
        0.55           5    0.367211    0.401893   0.0123056
        0.55           6    0.402495    0.401994   0.0102551
        0.55           7    0.414848     0.40383    0.008953
        0.55           8     0.37846    0.400659   0.0083767
        0.55           9    0.383317    0.398732  0.00766437
        0.55          10    0.397207    0.398579  0.00689945
        0.55          11    0.364623    0.395492  0.00692849
        0.55          12    0.386954    0.394781  0.00638755
        0.55          13     0.43152    0.397607  0.00649133
        0.55          14    0.322436    0.392238  0.00794375
        0.55          15    0.403126    0.392963  0.00744726
        0.55          16    0.393512    0.392998  0.00698188
        0.55          17    0.366486    0.391438  0.00674311
        0.55          18    0.385756    0.391123  0.00637588
        0.55          19    0.418908    0.392585  0.00620575
        0.55          20    0.386431    0.392277  0.00590308
       0.575           1    0.447686    0.447686           0
       0.575           2    0.432812    0.440249  0.00525901
       0.575           3    0.397842    0.426113   0.0120624
       0.575           4    0.390236    0.417144    0.011924
       0.575           5    0.432287    0.420173  0.00991631
       0.575           6    0.392856     0.41562  0.00924987
       0.575           7    0.422659    0.416625  0.00798293
       0.575           8    0.438782    0.419395  0.00745002
       0.575           9     0.41001    0.418352  0.00669483
       0.575          10    0.382978    0.414815  0.00689688
       0.575          11    0.430718    0.416261  0.00641965
       0.575          12    0.368585    0.412288  0.00700703
       0.575          13    0.406334     0.41183  0.00648297
       0.575          14    0.396393    0.410727  0.00611295
       0.575          15    0.402438    0.410174  0.00573034
       0.575          16    0.419891    0.410782  0.00540428
       0.575          17    0.431471    0.411999  0.00522162
       0.575          18    0.396301    0.411127  0.00500383
       0.575          19    0.438047    0.412544  0.00493699
       0.575          20    0.435682      0.4137  0.00482379
         0.6           1    0.421928    0.421928           0
         0.6           2    0.423379    0.422654 0.000512989
         0.6           3    0.438462    0.427923  0.00431588
         0.6           4    0.430948    0.428679   0.0033025
         0.6           5    0.435476    0.430039  0.00290835
         0.6           6    0.405547    0.425957  0.00444515
         0.6           7     0.38727     0.42043  0.00637948
         0.6           8    0.407217    0.418779   0.0057919
         0.6           9    0.427966    0.419799  0.00523755
         0.6          10    0.421884    0.420008  0.00471794
         0.6          11    0.410869    0.419177  0.00436158
         0.6          12    0.421717    0.419389  0.00400324
         0.6          13    0.407917    0.418506  0.00379131
         0.6          14    0.413986    0.418183  0.00353423
         0.6          15    0.389578    0.416276  0.00377825
         0.6          16    0.433256    0.417338  0.00368814
         0.6          17    0.458699    0.419771  0.00419769
         0.6          18    0.416716    0.419601  0.00396791
         0.6          19    0.449658    0.421183   0.0040622
         0.6          20    0.438186    0.422033  0.00394706
       0.625           1    0.422112    0.422112           0
       0.625           2    0.408791    0.415451  0.00470965
       0.625           3    0.401725    0.410876  0.00487997
       0.625           4    0.427314    0.414986  0.00510505
       0.625           5    0.412683    0.414525  0.00410475
       0.625           6    0.431012    0.417273  0.00424175
       0.625           7    0.457546    0.423026  0.00644908
       0.625           8    0.433019    0.424275  0.00576264
       0.625           9    0.438869    0.425897  0.00534563
       0.625          10    0.467763    0.430083  0.00623872
       0.625          11    0.433099    0.430358  0.00567758
       0.625          12    0.442392     0.43136  0.00529228
       0.625          13    0.473253    0.434583  0.00578368
       0.625          14    0.402762     0.43231  0.00580001
       0.625          15    0.381169    0.428901  0.00633666
       0.625          16    0.457638    0.430697  0.00618994
       0.625          17    0.413204    0.429668  0.00591073
       0.625          18    0.426119    0.429471  0.00558565
       0.625          19    0.393774    0.427592  0.00559873
       0.625          20    0.422542    0.427339  0.00532448
        0.65           1    0.402613    0.402613           0
        0.65           2    0.450735    0.426674   0.0170137
        0.65           3    0.379434    0.410927   0.0171452
        0.65           4     0.44096    0.418436   0.0144094
        0.65           5     0.46165    0.427078   0.0138796
        0.65           6     0.45207    0.431244   0.0121753
        0.65           7    0.424633    0.430299   0.0104725
        0.65           8    0.424478    0.429572  0.00918869
        0.65           9    0.410959    0.427504  0.00839723
        0.65          10    0.434297    0.428183  0.00758494
        0.65          11    0.446736     0.42987  0.00708044
        0.65          12    0.436188    0.430396  0.00650995
        0.65          13    0.436153    0.430839  0.00602423
        0.65          14    0.425024    0.430424  0.00560823
        0.65          15    0.421003    0.429796   0.0052694
        0.65          16    0.433794    0.430045  0.00494598
        0.65          17    0.458115    0.431697  0.00492294
        0.65          18    0.435221    0.431892  0.00465334
        0.65          19    0.422837    0.431416  0.00443276
        0.65          20    0.462406    0.432965  0.00447376
       0.675           1    0.407304    0.407304           0
       0.675           2    0.438742    0.423023    0.011115
       0.675           3    0.429181    0.425075  0.00759722
       0.675           4    0.427766    0.425748  0.00572762
       0.675           5    0.446128    0.429824  0.00585546
       0.675           6    0.439299    0.431403  0.00508803
       0.675           7    0.455243    0.434809  0.00538161
       0.675           8    0.424373    0.433504  0.00486445
       0.675           9    0.416691    0.431636  0.00466892
       0.675          10    0.451123    0.433585  0.00459071
       0.675          11    0.427501    0.433032  0.00420656
       0.675          12    0.382829    0.428848  0.00555991
       0.675          13    0.386043    0.425556  0.00602889
       0.675          14    0.439485    0.426551  0.00567977
       0.675          15    0.451701    0.428227  0.00554308
       0.675          16    0.432776    0.428512  0.00520392
       0.675          17    0.462238    0.430495   0.0052624
       0.675          18    0.401551    0.428887  0.00520994
       0.675          19    0.448965    0.429944  0.00504176
       0.675          20    0.445157    0.430705  0.00484671
         0.7           1     0.47219     0.47219           0
         0.7           2    0.433894    0.453042   0.0135398
         0.7           3    0.393101    0.433062   0.0186446
         0.7           4    0.426608    0.431448   0.0140531
         0.7           5    0.450059    0.435171    0.011725
         0.7           6    0.442561    0.436402  0.00983536
         0.7           7    0.430074    0.435498  0.00847176
         0.7           8    0.407846    0.432042  0.00808724
         0.7           9    0.438704    0.432782  0.00722245
         0.7          10     0.43243    0.432747  0.00650029
         0.7          11    0.437428    0.433172  0.00592327
         0.7          12    0.438477    0.433614  0.00544613
         0.7          13    0.424129    0.432885  0.00507584
         0.7          14     0.45883    0.434738  0.00504025
         0.7          15    0.449913     0.43575  0.00480469
         0.7          16    0.444489    0.436296  0.00453534
         0.7          17    0.447224    0.436939  0.00431388
         0.7          18    0.413453    0.435634  0.00426698
         0.7          19    0.478746    0.437903  0.00460637
         0.7          20     0.39668    0.435842  0.00481515
       0.725           1    0.421371    0.421371           0
       0.725           2    0.444705    0.433038  0.00824994
       0.725           3    0.458702    0.441593  0.00889023
       0.725           4    0.429263     0.43851  0.00718222
       0.725           5    0.438462    0.438501  0.00574578
       0.725           6     0.41951    0.435335  0.00559237
       0.725           7    0.419756     0.43311   0.0052176
       0.725           8    0.432707    0.433059  0.00456564
       0.725           9    0.401088    0.429507  0.00526192
       0.725          10    0.439121    0.430468  0.00482274
       0.725          11     0.40837    0.428459  0.00478446
       0.725          12    0.453562    0.430551  0.00482144
       0.725          13    0.416634    0.429481  0.00456787
       0.725          14    0.418288    0.428681  0.00431098
       0.725          15     0.41703    0.427905  0.00409296
       0.725          16    0.472102    0.430667  0.00467733
       0.725          17    0.411376    0.429532  0.00453776
       0.725          18    0.431594    0.429647  0.00428711
       0.725          19    0.426447    0.429478  0.00406478
       0.725          20    0.472408    0.431625  0.00439188
        0.75           1    0.429391    0.429391           0
        0.75           2      0.4386    0.433996  0.00325582
        0.75           3    0.462961    0.443651  0.00817666
        0.75           4    0.397807     0.43219   0.0116672
        0.75           5    0.414757    0.428703  0.00984098
        0.75           6    0.442644    0.431027  0.00847068
        0.75           7    0.394783    0.425849  0.00870023
        0.75           8    0.496704    0.434706   0.0112513
        0.75           9     0.43799    0.435071   0.0100071
        0.75          10    0.411699    0.432734  0.00927529
        0.75          11    0.445203    0.433867  0.00850107
        0.75          12    0.451076    0.435301  0.00791268
        0.75          13    0.429733    0.434873  0.00731559
        0.75          14    0.441511    0.435347   0.0068084
        0.75          15    0.440391    0.435683   0.0063628
        0.75          16    0.432028    0.435455  0.00596923
        0.75          17     0.43027     0.43515  0.00562588
        0.75          18    0.469088    0.437035  0.00562041
        0.75          19    0.427688    0.436543  0.00534609
        0.75          20    0.455192    0.437476  0.00515946
       0.775           1    0.420928    0.420928           0
       0.775           2    0.444375    0.432651  0.00828964
       0.775           3    0.435222    0.433508  0.00557055
       0.775           4    0.444974    0.436375  0.00485978
       0.775           5    0.446601     0.43842  0.00429672
       0.775           6    0.450761    0.440477  0.00404303
       0.775           7    0.431243    0.439158  0.00367434
       0.775           8    0.420639    0.436843  0.00387624
       0.775           9    0.413266    0.434223  0.00423932
       0.775          10    0.445655    0.435367  0.00396653
       0.775          11    0.446491    0.436378  0.00373262
       0.775          12    0.433202    0.436113  0.00343094
       0.775          13    0.448172    0.437041  0.00329004
       0.775          14     0.40913    0.435047  0.00360886
       0.775          15    0.433904    0.434971  0.00336907
       0.775          16    0.443893    0.435529  0.00320431
       0.775          17    0.430399    0.435227     0.00303
       0.775          18    0.438474    0.435407  0.00286703
       0.775          19    0.451153    0.436236  0.00283338
       0.775          20    0.431452    0.435997  0.00270179
         0.8           1    0.433157    0.433157           0
         0.8           2    0.417138    0.425148  0.00566345
         0.8           3    0.427714    0.426003  0.00383969
         0.8           4    0.429781    0.426948  0.00299367
         0.8           5    0.416371    0.424832   0.0030521
         0.8           6    0.435944    0.426684  0.00305404
         0.8           7    0.440328    0.428633  0.00317948
         0.8           8    0.423987    0.428053  0.00283458
         0.8           9    0.430893    0.428368  0.00253714
         0.8          10    0.455305    0.431062  0.00342702
         0.8          11    0.448677    0.432663  0.00346948
         0.8          12    0.441476    0.433398  0.00325715
         0.8          13    0.442105    0.434067  0.00307469
         0.8          14    0.445425    0.434879  0.00296016
         0.8          15    0.443283    0.435439  0.00281534
         0.8          16    0.434624    0.435388  0.00263984
         0.8          17    0.453859    0.436475  0.00269891
         0.8          18    0.455108     0.43751  0.00274033
         0.8          19    0.431776    0.437208  0.00261266
         0.8          20    0.468788    0.438787  0.00292046
       0.825           1    0.433008    0.433008           0
       0.825           2    0.434853    0.433931 0.000652312
       0.825           3    0.454419     0.44076  0.00559299
       0.825           4    0.426701    0.437245  0.00518273
       0.825           5    0.424894    0.434775  0.00469813
       0.825           6    0.428423    0.433716  0.00403265
       0.825           7    0.424814    0.432445  0.00365159
       0.825           8    0.470925    0.437255  0.00551841
       0.825           9    0.428806    0.436316  0.00498446
       0.825          10    0.431402    0.435825  0.00451017
       0.825          11    0.431676    0.435447   0.0041159
       0.825          12    0.427145    0.434755  0.00383061
       0.825          13    0.446913    0.435691  0.00364832
       0.825          14    0.454127    0.437008  0.00361758
       0.825          15    0.432775    0.436725   0.0033874
       0.825          16    0.442558     0.43709  0.00319524
       0.825          17    0.414974    0.435789   0.0032614
       0.825          18    0.451915    0.436685   0.0032009
       0.825          19    0.460246    0.437925  0.00326381
       0.825          20    0.433709    0.437714  0.00310742
        0.85           1    0.443275    0.443275           0
        0.85           2    0.438319    0.440797  0.00175214
        0.85           3    0.441043    0.440879     0.00117
        0.85           4    0.450042     0.44317  0.00216922
        0.85           5    0.453242    0.445184  0.00250153
        0.85           6    0.440691    0.444435  0.00219382
        0.85           7    0.458544    0.446451  0.00264917
