#       T       BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         0.5           1    0.326122    0.326122           0
         0.5           2    0.367796    0.346959   0.0147341
         0.5           3    0.350678    0.348198  0.00987473
         0.5           4    0.324373    0.342242  0.00902534
         0.5           5     0.33948     0.34169  0.00723716
         0.5           6    0.371581    0.346672  0.00755347
         0.5           7    0.311284    0.341616  0.00798893
         0.5           8    0.328471    0.339973  0.00715729
         0.5           9     0.28494    0.333858  0.00858553
         0.5          10    0.285913    0.329064  0.00896631
         0.5          11    0.328077    0.328974  0.00815164
         0.5          12    0.340723    0.329953   0.0075309
         0.5          13    0.337061      0.3305  0.00697142
         0.5          14    0.300672    0.328369  0.00679123
         0.5          15    0.277916    0.325006  0.00712289
         0.5          16     0.26546    0.321284  0.00758792
         0.5          17    0.366755    0.323959  0.00759839
         0.5          18     0.31659     0.32355  0.00718728
         0.5          19    0.368877    0.325935  0.00719405
         0.5          20    0.317166    0.325497   0.0068477
       0.525           1    0.421079    0.421079           0
       0.525           2    0.355783    0.388431   0.0230854
       0.525           3    0.389254    0.388705   0.0153919
       0.525           4    0.383828    0.387486   0.0115921
       0.525           5     0.37883    0.385755  0.00940206
       0.525           6    0.379176    0.384658  0.00789872
       0.525           7    0.351567    0.379931   0.0080618
       0.525           8    0.358102    0.377202  0.00750163
       0.525           9    0.392645    0.378918  0.00686153
       0.525          10    0.355087    0.376535  0.00657623
       0.525          11    0.368371    0.375793  0.00602013
       0.525          12    0.349521    0.373604  0.00590314
       0.525          13    0.370302     0.37335  0.00545451
       0.525          14    0.350221    0.371698  0.00530919
       0.525          15    0.373124    0.371793   0.0049561
       0.525          16    0.326876    0.368985  0.00538302
       0.525          17    0.377901     0.36951  0.00509185
       0.525          18    0.391075    0.370708  0.00494791
       0.525          19    0.351586    0.369701  0.00478875
       0.525          20    0.355153    0.368974  0.00460423
        0.55           1     0.37577     0.37577           0
        0.55           2    0.398861    0.387315  0.00816408
        0.55           3    0.408945    0.394525  0.00801726
        0.55           4    0.412869    0.399111  0.00720623
        0.55           5    0.391678    0.397625  0.00591635
        0.55           6    0.412928    0.400175   0.0054524
        0.55           7    0.399179    0.400033  0.00467534
        0.55           8    0.416078    0.402038  0.00450063
        0.55           9    0.391902    0.400912  0.00413909
        0.55          10    0.394134    0.400234  0.00378028
        0.55          11    0.381546    0.398535  0.00379926
        0.55          12    0.375466    0.396613  0.00393914
        0.55          13    0.390515    0.396144  0.00366396
        0.55          14    0.390925    0.395771  0.00342115
        0.55          15    0.412119    0.396861  0.00336219
        0.55          16     0.40759    0.397532  0.00321823
        0.55          17    0.407602    0.398124  0.00308296
        0.55          18    0.373803    0.396773  0.00319406
        0.55          19    0.385995    0.396205  0.00307592
        0.55          20    0.379361    0.395363  0.00303524
       0.575           1    0.455795    0.455795           0
       0.575           2    0.412015    0.433905   0.0154784
       0.575           3    0.404391    0.424067    0.013077
       0.575           4    0.425519     0.42443  0.00981277
       0.575           5    0.393631     0.41827  0.00959065
       0.575           6    0.405214    0.416094  0.00823538
       0.575           7    0.412371    0.415562  0.00707606
