#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         0.5           1     70.8327     70.8327           0
         0.5           2        71.8     71.3163    0.341999
         0.5           3     77.0295     73.2207     1.57156
         0.5           4     68.7042     72.0916      1.5315
         0.5           5     75.5051     72.7743     1.36893
         0.5           6     79.3049     73.8627     1.51282
         0.5           7      84.266     75.3489     1.89067
         0.5           8     75.5046     75.3684     1.65443
         0.5           9     80.4819     75.9365     1.56513
         0.5          10     77.4836     76.0912     1.41624
         0.5          11     77.3497     76.2056     1.29211
         0.5          12     79.9501     76.5177     1.22153
         0.5          13     76.0538      76.482     1.12809
         0.5          14     79.4386     76.6932     1.06709
         0.5          15     77.1594     76.7243    0.996406
         0.5          16     83.1262     77.1244     1.01128
         0.5          17      79.407     77.2587    0.960666
         0.5          18     73.4497     77.0471     0.93031
         0.5          19     79.7875     77.1913    0.892457
         0.5          20     78.6502     77.2642     0.85081
       0.525           1     69.8197     69.8197           0
       0.525           2     64.5917     67.2057     1.84838
       0.525           3     71.9538     68.7884      1.7856
       0.525           4     66.1968     68.1405     1.45199
       0.525           5     69.0247     68.3174     1.17231
       0.525           6      72.472     69.0098     1.16359
       0.525           7     59.9236     67.7118      1.5617
       0.525           8     65.0439     67.3783     1.40164
       0.525           9     56.9461     66.2192     1.65728
       0.525          10     73.1731     66.9146     1.63093
       0.525          11     75.7612     67.7188     1.66922
       0.525          12     63.7964     67.3919      1.5618
       0.525          13     63.5252     67.0945     1.46971
       0.525          14     70.4472      67.334      1.3841
       0.525          15     74.5209     67.8131     1.37225
       0.525          16     69.6256     67.9264     1.29116
       0.525          17      68.682     67.9708     1.21597
       0.525          18      64.399     67.7724     1.16449
       0.525          19     61.5213     67.4434     1.14874
       0.525          20     73.7084     67.7566     1.13321
        0.55           1      51.137      51.137           0
        0.55           2     53.3179     52.2274    0.771078
        0.55           3     60.6743      55.043     2.35572
        0.55           4     60.2099     56.3348     2.09116
        0.55           5          65     58.0678     2.28067
        0.55           6     63.4312     58.9617     2.06833
        0.55           7     59.4484     59.0312     1.77402
        0.55           8     60.9643     59.2729     1.56864
        0.55           9     59.8653     59.3387     1.39573
        0.55          10     62.8828     59.6931     1.30037
        0.55          11     67.6679     60.4181     1.36942
        0.55          12     61.2577     60.4881     1.25709
        0.55          13      56.209     60.1589     1.20271
        0.55          14     70.4442     60.8936     1.32228
        0.55          15     61.0154     60.9017     1.23416
        0.55          16     62.5514     61.0048     1.16132
        0.55          17     64.0643     61.1848     1.10686
        0.55          18     63.1748     61.2953     1.05088
        0.55          19      52.885     60.8527      1.0848
        0.55          20     58.0225     60.7112     1.03975
       0.575           1     55.8323     55.8323           0
       0.575           2     46.5863     51.2093     3.26896
       0.575           3     56.0178     52.8121     2.54207
       0.575           4     48.9738     51.8525      2.0798
       0.575           5     50.1389     51.5098     1.69184
       0.575           6     52.9324     51.7469     1.42638
       0.575           7     53.9256     52.0581     1.25611
       0.575           8     51.5611      51.996     1.10063
       0.575           9     44.1675     51.1262      1.2766
       0.575          10     61.1705     52.1306     1.49266
       0.575          11     50.9208     52.0206     1.36101
       0.575          12     48.9709     51.7665      1.2711
       0.575          13     47.7501     51.4575     1.21029
       0.575          14     56.3258     51.8053     1.17273
       0.575          15     49.3658     51.6426     1.10577
       0.575          16     46.5742     51.3259     1.08108
       0.575          17     42.9618     50.8339     1.12388
       0.575          18      47.045     50.6234     1.08097
       0.575          19     52.5903     50.7269     1.02903
       0.575          20     53.9837     50.8897    0.990375
         0.6           1     43.7561     43.7561           0
         0.6           2     41.3217     42.5389    0.860688
         0.6           3     54.2178     46.4319     3.22998
         0.6           4     43.6304     45.7315     2.49726
         0.6           5     43.8974     45.3647     2.02457
         0.6           6     43.2313     45.0091     1.71808
         0.6           7     45.6773     45.1046     1.47529
         0.6           8     48.5409     45.5341     1.35197
         0.6           9     41.0503     45.0359     1.29028
         0.6          10     44.4266      44.975     1.16269
         0.6          11     47.2539     45.1821     1.07529
         0.6          12     48.3118      45.443     1.01682
         0.6          13      48.328     45.6649    0.962517
         0.6          14     42.8438     45.4634    0.914615
         0.6          15     45.1997     45.4458     0.85381
         0.6          16     47.3098     45.5623    0.808356
         0.6          17     40.2469     45.2496    0.819047
         0.6          18      44.037     45.1823     0.77631
         0.6          19     44.7105     45.1574    0.735849
         0.6          20     47.1094      45.255    0.705499
       0.625           1     38.3199     38.3199           0
       0.625           2     33.5085     35.9142     1.70107
       0.625           3     37.6998     36.5094     1.23379
       0.625           4     38.6482     37.0441     1.03475
       0.625           5     36.5604     36.9473    0.832307
       0.625           6     39.8574     37.4324     0.82286
       0.625           7      39.713     37.7582    0.767101
       0.625           8     37.3407      37.706    0.672986
       0.625           9     36.9567     37.6227    0.603337
       0.625          10     43.8401     38.2445    0.801719
       0.625          11     41.1681     38.5103    0.771635
       0.625          12     40.1777     38.6492    0.719735
       0.625          13     42.8401     38.9716    0.733023
       0.625          14     37.2587     38.8492    0.690799
       0.625          15     36.2804      38.678    0.665636
       0.625          16     40.5705     38.7963    0.634456
       0.625          17     34.9627     38.5708    0.635948
       0.625          18     39.1212     38.6013    0.601352
       0.625          19     33.2312     38.3187    0.632646
       0.625          20     34.5163     38.1286    0.628932
        0.65           1     30.0143     30.0143           0
        0.65           2     29.9553     29.9848   0.0208694
        0.65           3      26.259     28.7429     1.01412
        0.65           4     30.9114      29.285    0.893825
        0.65           5     33.8976     30.2075     1.09185
        0.65           6     29.0165      30.009    0.927744
        0.65           7      36.206     30.8943     1.14198
        0.65           8     32.7896     31.1312     1.02351
        0.65           9     31.1454     31.1328    0.909791
        0.65          10     33.2738     31.3469    0.843627
        0.65          11     33.2143     31.5166    0.783828
        0.65          12     36.6564      31.945    0.827296
        0.65          13     33.4199     32.0584    0.771399
        0.65          14     34.2936     32.2181    0.732635
        0.65          15     33.5328     32.3057    0.689015
        0.65          16     34.1255     32.4195    0.655272
        0.65          17     33.0822     32.4584    0.617885
        0.65          18     36.0663     32.6589    0.615209
        0.65          19     28.9411     32.4632    0.613158
        0.65          20     33.9507     32.5376    0.586993
       0.675           1     23.7231     23.7231           0
       0.675           2     32.0692     27.8961      2.9508
       0.675           3     24.2194     26.6705     2.20709
       0.675           4     28.6167     27.1571      1.7081
       0.675           5     27.9371     27.3131     1.37359
       0.675           6     27.8224      27.398     1.14728
       0.675           7     29.1574     27.6493     1.01054
       0.675           8     27.4656     27.6263    0.884481
       0.675           9     32.3013     28.1458    0.926258
       0.675          10     27.5064     28.0818    0.835836
       0.675          11      29.115     28.1758     0.76511
       0.675          12     22.9354     27.7391    0.816521
       0.675          13     28.0586     27.7636    0.754082
       0.675          14     29.6623     27.8993    0.712309
       0.675          15     32.5607       28.21    0.729467
       0.675          16     32.2654     28.4635    0.726577
       0.675          17     30.4886     28.5826    0.693533
       0.675          18      26.413     28.4621    0.665395
       0.675          19     28.0794     28.4419    0.630679
       0.675          20     30.6032       28.55    0.608333
         0.7           1     28.8074     28.8074           0
         0.7           2      28.055     28.4312    0.266028
         0.7           3     23.2687     26.7103     1.41621
         0.7           4     23.8965     26.0069     1.22447
         0.7           5     24.0534     25.6162     1.04004
         0.7           6     25.1142     25.5325     0.87006
         0.7           7     24.4613     25.3795    0.759104
         0.7           8     25.8478      25.438    0.666469
         0.7           9     23.1059     25.1789    0.640814
         0.7          10     22.8842     24.9494    0.616452
         0.7          11     24.9706     24.9513    0.560414
         0.7          12     27.0388     25.1253    0.540035
         0.7          13     23.6389      25.011    0.510455
         0.7          14     24.9847     25.0091    0.473997
         0.7          15     25.8896     25.0678    0.446017
         0.7          16     26.5034     25.1575    0.427072
         0.7          17     27.5925     25.3007    0.425292
         0.7          18     23.4604     25.1985    0.413772
         0.7          19     25.6624     25.2229    0.392714
         0.7          20     23.1209     25.1178    0.386887
       0.725           1     21.9058     21.9058           0
       0.725           2     22.8487     22.3772    0.333395
       0.725           3     25.9364     23.5636     0.99385
       0.725           4     20.6324     22.8308    0.978963
       0.725           5     20.2724     22.3191    0.907091
       0.725           6     20.3102     21.9843    0.815365
       0.725           7     20.9896     21.8422    0.711159
       0.725           8     22.5808     21.9345    0.628229
       0.725           9     19.2937     21.6411    0.623196
       0.725          10     21.4184     21.6188    0.561274
       0.725          11     20.0231     21.4738    0.528663
       0.725          12     22.4309     21.5535    0.490588
       0.725          13     21.9291     21.5824    0.453701
       0.725          14     21.4235     21.5711    0.421436
       0.725          15     19.5863     21.4388     0.41359
       0.725          16     24.4929     21.6296    0.429538
       0.725          17     22.5083     21.6813    0.407369
       0.725          18     19.2134     21.5442    0.407157
       0.725          19       22.62     21.6008    0.389645
       0.725          20     24.6914     21.7554    0.399632
        0.75           1     17.9744     17.9744           0
        0.75           2     20.6886     19.3315    0.959625
        0.75           3     21.5233     20.0621    0.874719
        0.75           4     16.5308     19.1793     1.00743
        0.75           5     20.2581     19.3951    0.828725
        0.75           6     19.8904     19.4776    0.694704
        0.75           7     17.3449     19.1729     0.65889
        0.75           8     22.1349     19.5432    0.672555
        0.75           9     18.8837     19.4699    0.601804
        0.75          10     17.3489     19.2578    0.577793
        0.75          11     21.6417     19.4745    0.564447
        0.75          12     18.4753     19.3913    0.523515
        0.75          13     17.7219     19.2629    0.498745
        0.75          14       18.37     19.1991     0.46718
        0.75          15     18.7061     19.1662    0.437189
        0.75          16     16.9653     19.0287    0.430962
