#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         0.5           1     79.2175     79.2175           0
         0.5           2     75.1446     77.1811     1.43997
         0.5           3     75.8393     76.7338      1.0271
         0.5           4     80.1214     77.5807     1.06364
         0.5           5     77.0427     77.4731    0.856336
         0.5           6     73.2553     76.7701    0.959716
         0.5           7      81.069     77.3842     0.99998
         0.5           8     80.9253     77.8269       0.968
         0.5           9     83.2131     78.4253     1.02895
         0.5          10     83.7927     78.9621     1.05681
         0.5          11     78.9837      78.964    0.960741
         0.5          12     77.5015     78.8422    0.888377
         0.5          13     75.0442       78.55    0.866747
         0.5          14     83.9443     78.9353    0.886351
         0.5          15     83.5527     79.2431     0.87909
         0.5          16     84.8066     79.5909    0.890263
         0.5          17     71.7934     79.1322    0.948723
         0.5          18      80.332     79.1988    0.898354
         0.5          19     76.4382     79.0535    0.862742
         0.5          20     79.9695     79.0993     0.82082
       0.525           1      68.858      68.858           0
       0.525           2      70.463     69.6605    0.567426
       0.525           3      69.822     69.7143     0.38083
       0.525           4     70.2111     69.8385    0.305203
       0.525           5     64.7634     68.8235    0.940132
       0.525           6     67.1822       68.55    0.822279
       0.525           7     72.3481     69.0925    0.865506
       0.525           8     68.9087     69.0696    0.757623
       0.525           9     61.2356     68.1991      1.0616
       0.525          10     71.0331     68.4825    0.992548
       0.525          11     62.7569      67.962     1.02979
       0.525          12     74.6135     68.5163     1.08293
       0.525          13     70.3944     68.6608     1.00922
       0.525          14     69.9244      68.751    0.941156
       0.525          15     64.1035     68.4412    0.928012
       0.525          16     77.2919     68.9944     1.02166
       0.525          17     70.6394     69.0911    0.966134
       0.525          18     68.3566     69.0503    0.913321
       0.525          19     68.1016     69.0004    0.866616
       0.525          20      67.269     68.9138    0.827598
        0.55           1     65.3348     65.3348           0
        0.55           2     60.0864     62.7106      1.8556
        0.55           3     59.2955     61.5722     1.54733
        0.55           4     61.4925     61.5523     1.16062
        0.55           5     60.4712     61.3361    0.948424
        0.55           6     56.2278     60.4847     1.10847
        0.55           7     57.5757     60.0691     1.02506
        0.55           8     59.7197     60.0254    0.897857
        0.55           9     60.5373     60.0823    0.799894
        0.55          10      62.879      60.362     0.76724
        0.55          11     61.7934     60.4921     0.70844
        0.55          12     62.9384      60.696    0.678099
        0.55          13     59.8737     60.6327    0.628881
        0.55          14     61.7072     60.7095    0.588626
        0.55          15     60.0408     60.6649    0.551069
        0.55          16     61.2553     60.7018    0.517862
        0.55          17     60.5834     60.6948    0.487446
        0.55          18     60.2535     60.6703    0.460982
        0.55          19     62.5038     60.7668    0.446706
        0.55          20     52.5474     60.3558    0.583561
       0.575           1     53.1731     53.1731           0
       0.575           2     51.2287     52.2009    0.687428
       0.575           3     53.8224     52.7414    0.636237
       0.575           4     52.1428     52.5918    0.494462
       0.575           5     53.7728      52.828    0.448452
       0.575           6     52.4493     52.7649    0.378125
       0.575           7     55.3403     53.1328    0.470185
       0.575           8     57.1459     53.6344    0.624055
       0.575           9     49.8922     53.2186     0.67926
       0.575          10     55.1575     53.4125    0.638408
       0.575          11      54.116     53.4765    0.583565
       0.575          12     52.1587     53.3666     0.54517
       0.575          13     52.3262     53.2866    0.509074
       0.575          14     50.5406     53.0905    0.509098
       0.575          15     48.0642     52.7554    0.574953
       0.575          16     51.4307     52.6726    0.544947
       0.575          17     52.5665     52.6663    0.512927
       0.575          18      51.729     52.6143    0.487067
       0.575          19     52.6852      52.618    0.461447
       0.575          20     55.9858     52.7864    0.468091
         0.6           1     43.1887     43.1887           0
         0.6           2     45.1301     44.1594    0.686384
         0.6           3     45.9206     44.7465    0.662685
         0.6           4     44.2704     44.6274    0.507589
         0.6           5     45.3475     44.7715    0.426013
         0.6           6     41.4576     44.2192     0.61663
         0.6           7     48.4097     44.8178    0.765855
         0.6           8     42.4936     44.5273    0.723131
         0.6           9      45.629     44.6497    0.653062
         0.6          10     42.3724      44.422    0.626204
         0.6          11     50.1247     44.9404     0.75393
         0.6          12     37.0017     44.2788     0.93745
         0.6          13     45.7981     44.3957    0.872593
         0.6          14     43.3745     44.3228    0.813308
         0.6          15     46.2872     44.4537    0.769559
         0.6          16     50.0593     44.8041    0.797231
         0.6          17     40.3386     44.5414    0.792428
         0.6          18     42.4574     44.4256    0.756815
         0.6          19     46.7915     44.5501    0.727154
         0.6          20     42.8757     44.4664    0.695599
       0.625           1     39.5414     39.5414           0
       0.625           2     40.1582     39.8498    0.218072
       0.625           3     35.7283      38.476     1.13109
       0.625           4     36.4024     37.9576    0.959793
       0.625           5     37.1421     37.7945    0.781567
       0.625           6     37.5151     37.7479    0.652691
       0.625           7     31.8012     36.8984    0.965187
       0.625           8     37.1544     36.9304    0.845069
       0.625           9      40.238     37.2979    0.827237
       0.625          10     39.3695     37.5051    0.770015
       0.625          11     36.0788     37.3754    0.710845
       0.625          12     34.0281     37.0965    0.704215
       0.625          13     37.4904     37.1268    0.650697
       0.625          14     38.4317       37.22    0.610858
       0.625          15     38.2407      37.288    0.573912
       0.625          16     41.4117     37.5458    0.593096
       0.625          17     33.4547     37.3051    0.605063
       0.625          18      38.981     37.3982    0.578568
       0.625          19     38.9795     37.4814     0.55407
       0.625          20     39.9894     37.6068    0.540371
        0.65           1     30.2416     30.2416           0
        0.65           2     30.4451     30.3434   0.0719378
        0.65           3     34.8491     31.8453     1.22724
        0.65           4     31.2115     31.6868    0.930603
        0.65           5     32.1364     31.7767    0.748814
        0.65           6     32.4233     31.8845    0.631718
        0.65           7     33.6135     32.1315     0.58778
        0.65           8     30.5061     31.9283    0.548299
        0.65           9     30.5568     31.7759    0.508113
        0.65          10       32.86     31.8843    0.468724
        0.65          11     29.3712     31.6559    0.478563
        0.65          12      35.273     31.9573    0.525099
        0.65          13     36.1496     32.2798    0.575272
        0.65          14     32.0026       32.26    0.534522
        0.65          15     34.8497     32.4326     0.52603
        0.65          16     33.4852     32.4984    0.497249
        0.65          17     32.0916     32.4745    0.468575
        0.65          18     31.7946     32.4367    0.444062
        0.65          19     31.0941     32.3661    0.426276
        0.65          20     32.9443      32.395    0.405941
       0.675           1     27.1441     27.1441           0
       0.675           2     28.6575     27.9008    0.535071
       0.675           3     29.4057     28.4024    0.543137
       0.675           4     25.5563     27.6909    0.738679
       0.675           5     31.3035     28.4134     0.87569
       0.675           6     29.2826     28.5583    0.741629
       0.675           7     27.6462      28.428    0.647027
       0.675           8     28.4896     28.4357    0.566194
       0.675           9     27.9619      28.383    0.505725
       0.675          10     29.3101     28.4757    0.463571
       0.675          11     28.0055      28.433    0.423395
       0.675          12      29.051     28.4845    0.391232
       0.675          13      27.999     28.4472    0.362915
       0.675          14     30.5389     28.5966     0.36646
       0.675          15     30.5673     28.7279    0.364821
       0.675          16     28.8402      28.735    0.342087
       0.675          17     30.4048     28.8332    0.335771
       0.675          18     25.6785     28.6579    0.359962
       0.675          19     30.5273     28.7563    0.354208
       0.675          20     29.6391     28.8005    0.339236
         0.7           1     23.5988     23.5988           0
         0.7           2      22.074     22.8364    0.539076
         0.7           3     25.8881     23.8536    0.904993
         0.7           4     26.4535     24.5036    0.881776
         0.7           5     22.6209      24.127    0.781696
         0.7           6     24.6605     24.2159     0.65645
         0.7           7     25.0041     24.3285    0.572246
         0.7           8     22.7825     24.1353    0.532348
         0.7           9      24.118     24.1334    0.473202
         0.7          10     22.4109     23.9611    0.456154
         0.7          11     22.9355     23.8679    0.424108
         0.7          12     22.9032     23.7875    0.396312
         0.7          13     23.6215     23.7747    0.366032
         0.7          14     23.4125     23.7488      0.3408
         0.7          15     25.5592     23.8695    0.338778
         0.7          16     24.1734     23.8885    0.318136
         0.7          17     25.3287     23.9732    0.310497
         0.7          18      24.654     24.0111    0.295541
         0.7          19     26.4721     24.1406    0.307063
         0.7          20      23.605     24.1138    0.292875
       0.725           1      23.458      23.458           0
       0.725           2     20.9868     22.2224    0.873691
       0.725           3     21.3915     21.9454    0.624817
       0.725           4     20.2671     21.5258    0.592996
       0.725           5     20.7753     21.3757    0.493031
       0.725           6     21.0166     21.3159    0.414476
       0.725           7     21.0487     21.2777    0.357018
       0.725           8     21.7477     21.3365    0.317187
       0.725           9     24.4465      21.682    0.430858
       0.725          10     21.4793     21.6618    0.388249
       0.725          11     21.8956      21.683    0.353535
       0.725          12      20.891      21.617    0.330176
       0.725          13     22.1276     21.6563    0.307105
       0.725          14     21.9164     21.6749     0.28573
       0.725          15     22.8718     21.7547      0.2776
       0.725          16     22.0394     21.7725    0.260819
       0.725          17      21.681     21.7671    0.245533
       0.725          18     20.6258     21.7037    0.239939
       0.725          19     20.6031     21.6457    0.234198
       0.725          20     20.8617     21.6065    0.225746
        0.75           1     19.3091     19.3091           0
        0.75           2     19.0999     19.2045   0.0739539
        0.75           3     19.8884     19.4324    0.192558
        0.75           4     18.4853     19.1957    0.250816
        0.75           5     18.5965     19.0758     0.22748
        0.75           6     19.2827     19.1103    0.192161
        0.75           7     19.0839     19.1065    0.164747
        0.75           8     18.8578     19.0754    0.147059
        0.75           9     19.8539     19.1619    0.154072
        0.75          10     18.5534     19.1011    0.150202
        0.75          11     18.1331     19.0131    0.160264
        0.75          12     18.4976     18.9701    0.152556
        0.75          13     19.2454     18.9913    0.142283
        0.75          14     19.4434     19.0236    0.135735
        0.75          15     18.7453     19.0051    0.127948
        0.75          16     20.4007     19.0923    0.146702
        0.75          17     18.1955     19.0395    0.147251
        0.75          18     17.9155     18.9771    0.151735
        0.75          19     20.6699     19.0662    0.167881
        0.75          20      19.016     19.0637    0.159506
       0.775           1     16.7127     16.7127           0
       0.775           2     16.0321     16.3724    0.240613
       0.775           3     17.9604     16.9017    0.461016
       0.775           4     17.7738     17.1198    0.393956
       0.775           5     17.0388     17.1036    0.315498
       0.775           6     15.7746     16.8821    0.331671
       0.775           7     17.0997     16.9132    0.285743
       0.775           8     16.4694     16.8577    0.255352
       0.775           9     17.0702     16.8813    0.228068
       0.775          10      16.447     16.8379    0.209356
       0.775          11       16.02     16.7635    0.203099
       0.775          12     17.8016       16.85    0.203767
       0.775          13     16.6044     16.8311    0.188966
       0.775          14     17.8371      16.903    0.188636
       0.775          15     15.7661     16.8272     0.19068
       0.775          16      15.341     16.7343    0.200111
       0.775          17     17.6719     16.7895    0.195793
       0.775          18     16.6345     16.7809    0.185105
       0.775          19     15.7726     16.7278    0.182811
       0.775          20     16.6928     16.7261    0.173678
         0.8           1     15.1337     15.1337           0
         0.8           2     14.8399     14.9868    0.103872
         0.8           3     14.6334      14.869    0.118514
         0.8           4     16.0238     15.1577    0.265357
         0.8           5     14.3975     15.0057    0.252103
         0.8           6     15.2199     15.0414      0.2126
         0.8           7     15.2437     15.0703    0.184183
         0.8           8     16.2131     15.2131    0.209355
         0.8           9      15.909     15.2905    0.199863
         0.8          10      15.363     15.2977    0.180008
         0.8          11     14.1189     15.1905    0.192925
         0.8          12     14.8136     15.1591    0.179387
         0.8          13      13.598      15.039    0.201818
         0.8          14      14.227      14.981    0.195561
         0.8          15     14.2927     14.9351    0.187831
         0.8          16      16.066     15.0058    0.188922
         0.8          17     15.8125     15.0533    0.183672
         0.8          18       14.99     15.0498    0.173501
         0.8          19     15.0452     15.0495     0.16437
         0.8          20     16.4463     15.1194    0.170344
       0.825           1     13.2256     13.2256           0
       0.825           2     14.1898     13.7077    0.340879
       0.825           3     14.4796      13.965    0.309482
       0.825           4     12.8843     13.6948    0.329584
       0.825           5     15.0249     13.9609    0.355152
       0.825           6      13.767     13.9286    0.297426
       0.825           7     13.8605     13.9188    0.255095
       0.825           8     12.8239      13.782    0.257316
       0.825           9     13.3978     13.7393    0.232239
       0.825          10     12.8639     13.6517    0.224908
       0.825          11     14.0537     13.6883    0.207409
       0.825          12     13.8988     13.7058    0.190865
       0.825          13     13.4405     13.6854    0.177271
       0.825          14     13.1595     13.6479    0.168542
       0.825          15     13.3203      13.626    0.158714
       0.825          16     13.8719     13.6414    0.149537
       0.825          17     14.0658     13.6664     0.14281
       0.825          18     13.2444     13.6429    0.136786
       0.825          19       14.61     13.6938    0.138734
       0.825          20     13.1175      13.665    0.134756
        0.85           1     11.6431     11.6431           0
        0.85           2     12.4508     12.0469    0.285543
        0.85           3     12.1327     12.0755    0.191787
        0.85           4     13.5144     12.4352    0.343123
        0.85           5      12.123     12.3728    0.280124
        0.85           6     11.4317     12.2159    0.273851
        0.85           7     12.0357     12.1902    0.235937
        0.85           8     12.5516     12.2354    0.210727
        0.85           9     12.6991     12.2869     0.19351
        0.85          10     11.2942     12.1876    0.197991
        0.85          11     12.8767     12.2503    0.189643
        0.85          12     11.4479     12.1834    0.185251
        0.85          13     11.9908     12.1686    0.171592
        0.85          14     12.8292     12.2158    0.165696
        0.85          15     12.1639     12.2123    0.154686
        0.85          16     12.1816     12.2104     0.14503
        0.85          17      12.591     12.2328    0.138216
        0.85          18     12.5532     12.2506    0.131679
        0.85          19     12.6145     12.2697    0.126133
        0.85          20     12.2839     12.2704    0.119829
       0.875           1     10.9044     10.9044           0
       0.875           2     11.0756       10.99    0.060551
       0.875           3     11.5493     11.1764    0.157475
       0.875           4     10.9335     11.1157    0.129286
       0.875           5     10.4496     10.9825    0.157778
       0.875           6     10.8442     10.9594    0.133153
       0.875           7      11.337     11.0134    0.124578
       0.875           8     11.5156     11.0761    0.123818
       0.875           9     11.3819     11.1101    0.114625
       0.875          10     12.3512     11.2342    0.156541
       0.875          11     11.8679     11.2918     0.15254
       0.875          12     11.7363     11.3289    0.144256
       0.875          13     11.2507     11.3229    0.133285
       0.875          14     11.6774     11.3482    0.126148
       0.875          15     10.2779     11.2768    0.136433
       0.875          16     11.2489     11.2751    0.127917
       0.875          17     11.5231     11.2897    0.121222
       0.875          18     11.2954       11.29    0.114488
       0.875          19     11.6047     11.3065    0.109654
       0.875          20       10.78     11.2802    0.107285
         0.9           1      10.326      10.326           0
         0.9           2     10.2424     10.2842   0.0295665
         0.9           3     9.76464      10.111    0.142772
         0.9           4     9.42661     9.93991    0.182819
         0.9           5     10.3677     10.0255    0.165063
         0.9           6     10.6499     10.1295    0.167176
         0.9           7     10.3608     10.1626    0.146521
         0.9           8     10.5052     10.2054    0.134321
         0.9           9     10.2591     10.2114    0.119528
         0.9          10      10.075     10.1977    0.108351
         0.9          11     9.81696     10.1631    0.103883
         0.9          12     10.4268     10.1851   0.0975227
         0.9          13     11.2506     10.2671    0.119602
         0.9          14     10.1494     10.2587    0.111354
         0.9          15     10.1276     10.2499    0.104273
         0.9          16     10.9359     10.2928    0.106204
         0.9          17     10.7198     10.3179    0.102885
         0.9          18      9.8993     10.2947   0.0997628
         0.9          19     9.74605     10.2658    0.098602
         0.9          20     10.4503      10.275   0.0941027
       0.925           1      9.1153      9.1153           0
       0.925           2      9.3655      9.2404   0.0884594
       0.925           3     8.89802     9.12627    0.110279
       0.925           4     10.2153     9.39852    0.249858
       0.925           5     9.96644      9.5121    0.224222
       0.925           6     9.24284     9.46723     0.19129
       0.925           7     9.91984     9.53189    0.174549
       0.925           8     9.62282     9.54325      0.1531
       0.925           9     9.05292     9.48877     0.14546
       0.925          10     9.10177     9.45007    0.135965
       0.925          11     9.86167     9.48749     0.12865
       0.925          12     9.79538     9.51315    0.120461
       0.925          13     9.22566     9.49103    0.113206
       0.925          14     9.39227     9.48398    0.105339
       0.925          15     8.81805     9.43958    0.107265
       0.925          16     9.35964     9.43459    0.100677
       0.925          17     9.51593     9.43937   0.0948686
       0.925          18     9.65337     9.45126     0.09034
       0.925          19     9.62503     9.46041    0.086047
       0.925          20     9.39487     9.45713    0.081807
        0.95           1     8.44652     8.44652           0
        0.95           2     8.48583     8.46617    0.013898
        0.95           3     8.57734     8.50323   0.0316436
        0.95           4      9.2432     8.68822    0.161958
        0.95           5      8.6556      8.6817    0.129697
        0.95           6     9.04809     8.74276     0.12161
        0.95           7      8.2662     8.67468    0.121812
        0.95           8     8.58465     8.66343    0.107104
        0.95           9     8.65967     8.66301   0.0952045
        0.95          10     8.09487      8.6062    0.101226
        0.95          11     9.19184     8.65944    0.105097
        0.95          12     8.24158     8.62462    0.101944
        0.95          13     8.96219     8.65058   0.0973534
        0.95          14     8.92197     8.66997   0.0923094
        0.95          15     8.43084     8.65403   0.0875212
        0.95          16     8.52977     8.64626    0.082395
        0.95          17     7.83216     8.59837   0.0903997
        0.95          18     9.27171     8.63578    0.092795
        0.95          19     8.59753     8.63377   0.0879329
        0.95          20      8.7542     8.63979   0.0837422
       0.975           1     8.32859     8.32859           0
       0.975           2     7.84654     8.08756    0.170429
       0.975           3     8.07038     8.08183    0.113716
       0.975           4     7.56391     7.95235    0.140882
       0.975           5     8.16679     7.99524    0.119054
       0.975           6     7.97319     7.99157   0.0992685
       0.975           7     8.24231     8.02739    0.091322
       0.975           8     8.26921     8.05761    0.084762
       0.975           9      7.7837     8.02718   0.0806232
       0.975          10     8.40116     8.06458   0.0807703
       0.975          11     8.24954     8.08139   0.0751575
       0.975          12     8.06248     8.07982   0.0689109
       0.975          13     7.72325     8.05239   0.0688526
       0.975          14     7.92206     8.04308   0.0645608
       0.975          15     8.21433      8.0545   0.0612579
       0.975          16     7.77431     8.03698   0.0598801
       0.975          17      7.6511     8.01428   0.0605074
       0.975          18     7.69801     7.99671   0.0596426
       0.975          19     7.71323     7.98179   0.0583399
