#   T     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         0.5           1   -0.965024   -0.965024           0
         0.5           2   -0.966568   -0.965796 0.000545886
         0.5           3   -0.972504   -0.968032   0.0018616
         0.5           4   -0.963168   -0.966816  0.00174882
         0.5           5    -0.97086   -0.967625  0.00157502
         0.5           6   -0.973624   -0.968625  0.00159869
         0.5           7   -0.978336   -0.970012  0.00187816
         0.5           8   -0.971416   -0.970187  0.00165157
         0.5           9   -0.976788   -0.970921  0.00162274
         0.5          10   -0.971244   -0.970953  0.00146079
         0.5          11   -0.971252    -0.97098  0.00132824
         0.5          12   -0.973548   -0.971194  0.00123467
         0.5          13   -0.971688   -0.971232  0.00114028
         0.5          14    -0.97502   -0.971503  0.00109046
         0.5          15   -0.973288   -0.971622  0.00102423
         0.5          16   -0.976972   -0.971956  0.00101333
         0.5          17   -0.973384    -0.97204 0.000957198
         0.5          18     -0.9694   -0.971894  0.00091519
         0.5          19   -0.975816     -0.9721 0.000890002
         0.5          20   -0.973296    -0.97216 0.000847509
       0.525           1   -0.966716   -0.966716           0
       0.525           2   -0.959596   -0.963156   0.0025173
       0.525           3    -0.96964   -0.965317  0.00243528
       0.525           4     -0.9632   -0.964788  0.00188311
       0.525           5   -0.964772   -0.964785  0.00150649
       0.525           6   -0.967332   -0.965209  0.00131387
       0.525           7    -0.95652   -0.963968  0.00160905
       0.525           8   -0.961816   -0.963699  0.00143023
       0.525           9   -0.952388   -0.962442  0.00173788
       0.525          10   -0.970528   -0.963251  0.00174207
       0.525          11    -0.97322   -0.964157  0.00180411
       0.525          12   -0.959956   -0.963807  0.00168739
       0.525          13   -0.961068   -0.963596  0.00157069
       0.525          14   -0.966248   -0.963786  0.00146987
       0.525          15    -0.97072   -0.964248  0.00144275
       0.525          16   -0.967008    -0.96442  0.00136285
       0.525          17   -0.964404    -0.96442  0.00128268
       0.525          18   -0.960476     -0.9642  0.00122999
       0.525          19   -0.958392   -0.963895  0.00120264
       0.525          20   -0.969528   -0.964176  0.00117503
        0.55           1   -0.947356   -0.947356           0
        0.55           2     -0.9471   -0.947228 9.05097e-05
        0.55           3   -0.955452   -0.949969   0.0022391
        0.55           4   -0.956384   -0.951573  0.00217921
        0.55           5   -0.960672   -0.953393  0.00238509
        0.55           6   -0.958824   -0.954298  0.00215251
        0.55           7   -0.954916   -0.954386  0.00184682
        0.55           8   -0.957424   -0.954766  0.00165454
        0.55           9   -0.955808   -0.954882  0.00147475
        0.55          10   -0.959684   -0.955362  0.00140328
        0.55          11   -0.964608   -0.956203  0.00150656
        0.55          12   -0.957872   -0.956342  0.00138742
        0.55          13   -0.950712   -0.955909  0.00134659
        0.55          14   -0.967064   -0.956705  0.00146733
        0.55          15   -0.955828   -0.956647  0.00137068
        0.55          16   -0.958196   -0.956744  0.00128842
        0.55          17      -0.961   -0.956994  0.00123672
        0.55          18   -0.960508   -0.957189  0.00118332
        0.55          19   -0.947632   -0.956686  0.00122329
        0.55          20   -0.954632   -0.956584  0.00116643
       0.575           1   -0.948588   -0.948588           0
       0.575           2   -0.939664   -0.944126  0.00315511
       0.575           3   -0.950932   -0.946395  0.00280278
       0.575           4   -0.943256    -0.94561  0.00220919
       0.575           5   -0.943988   -0.945286  0.00179101
       0.575           6      -0.948   -0.945738  0.00154859
       0.575           7   -0.948132    -0.94608  0.00136461
       0.575           8    -0.94456    -0.94589  0.00120719
       0.575           9     -0.9369   -0.944891  0.00142771
       0.575          10     -0.9566   -0.946062  0.00169852
       0.575          11   -0.944044   -0.945879  0.00155398
       0.575          12   -0.944328   -0.945749  0.00142984
       0.575          13   -0.943224   -0.945555  0.00133299
       0.575          14   -0.952476   -0.946049  0.00132628
       0.575          15     -0.9448   -0.945966  0.00124047
       0.575          16   -0.939672   -0.945573  0.00122373
       0.575          17    -0.93542   -0.944976  0.00128927
       0.575          18    -0.94086   -0.944747  0.00123775
       0.575          19   -0.945732   -0.944799  0.00117369
       0.575          20    -0.94788   -0.944953  0.00112507
         0.6           1   -0.934812   -0.934812           0
         0.6           2   -0.932636   -0.933724 0.000769332
         0.6           3   -0.947068   -0.938172  0.00366781
         0.6           4   -0.932556   -0.936768   0.0030076
         0.6           5   -0.933372   -0.936089  0.00248158
         0.6           6   -0.933172   -0.935603  0.00211507
         0.6           7   -0.939632   -0.936178  0.00188962
         0.6           8    -0.94266   -0.936988  0.00181884
         0.6           9   -0.929712    -0.93618  0.00178743
         0.6          10   -0.935488   -0.936111  0.00161003
         0.6          11   -0.938508   -0.936329  0.00147834
         0.6          12   -0.939656   -0.936606   0.0013809
         0.6          13   -0.941428   -0.936977  0.00132356
         0.6          14    -0.93386   -0.936754   0.0012476
         0.6          15      -0.938   -0.936837  0.00116719
         0.6          16   -0.938328    -0.93693  0.00109795
         0.6          17   -0.928528   -0.936436   0.0011392
         0.6          18   -0.935072    -0.93636  0.00107843
         0.6          19   -0.933876    -0.93623  0.00102956
         0.6          20    -0.93724    -0.93628 0.000979325
       0.625           1   -0.924328   -0.924328           0
       0.625           2   -0.918904   -0.921616  0.00191767
       0.625           3   -0.925036   -0.922756   0.0015814
       0.625           4   -0.923324   -0.922898  0.00119241
       0.625           5   -0.923908     -0.9231 0.000970887
       0.625           6   -0.925492   -0.923499 0.000887155
       0.625           7   -0.924748   -0.923677 0.000778164
       0.625           8    -0.92102   -0.923345 0.000748429
       0.625           9   -0.921736   -0.923166  0.00068629
       0.625          10      -0.932    -0.92405  0.00104107
       0.625          11   -0.929884    -0.92458  0.00107307
       0.625          12    -0.92646   -0.924737 0.000995016
       0.625          13    -0.93026   -0.925162   0.0010051
       0.625          14   -0.924488   -0.925113 0.000934459
       0.625          15    -0.92534   -0.925129 0.000872284
       0.625          16   -0.925548   -0.925155  0.00081816
       0.625          17    -0.91992   -0.924847 0.000825949
       0.625          18   -0.924068   -0.924804 0.000781195
       0.625          19   -0.920872   -0.924597 0.000766996
       0.625          20   -0.920572   -0.924395 0.000754582
        0.65           1     -0.9092     -0.9092           0
        0.65           2   -0.907128   -0.908164 0.000732563
        0.65           3   -0.906464   -0.907597 0.000672744
        0.65           4   -0.910724   -0.908379 0.000844293
        0.65           5   -0.913636    -0.90943  0.00115783
        0.65           6   -0.907484   -0.909106  0.00100928
        0.65           7   -0.919908   -0.910649  0.00167018
        0.65           8   -0.913672   -0.911027  0.00150354
        0.65           9   -0.913352   -0.911285  0.00135849
        0.65          10   -0.915172   -0.911674  0.00127703
        0.65          11    -0.91304   -0.911798  0.00116696
        0.65          12   -0.919036   -0.912401  0.00121563
        0.65          13   -0.913604   -0.912494  0.00112564
        0.65          14   -0.917304   -0.912837  0.00109642
        0.65          15   -0.916252   -0.913065  0.00104669
        0.65          16   -0.913852   -0.913114 0.000982425
        0.65          17   -0.913028   -0.913109 0.000924649
        0.65          18   -0.920372   -0.913513 0.000957276
        0.65          19   -0.906728   -0.913156 0.000971213
        0.65          20   -0.913788   -0.913187 0.000923167
       0.675           1   -0.896564   -0.896564           0
       0.675           2   -0.909784   -0.903174  0.00467398
       0.675           3   -0.897012    -0.90112  0.00353864
       0.675           4   -0.903108   -0.901617  0.00268865
       0.675           5   -0.901104   -0.901514  0.00215288
       0.675           6   -0.902516   -0.901681  0.00180053
       0.675           7   -0.902756   -0.901835  0.00154984
       0.675           8   -0.900764   -0.901701  0.00136188
       0.675           9   -0.907388   -0.902333  0.00134921
       0.675          10   -0.899852   -0.902085  0.00123689
       0.675          11    -0.90428   -0.902284  0.00114043
       0.675          12   -0.897784   -0.901909  0.00110534
       0.675          13   -0.905928   -0.902218  0.00106266
       0.675          14   -0.904232   -0.902362 0.000996442
       0.675          15   -0.909476   -0.902837  0.00103675
       0.675          16   -0.909912   -0.903279  0.00106208
       0.675          17   -0.906224   -0.903452  0.00101364
       0.675          18    -0.90248   -0.903398 0.000958762
