#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46247    -5.46247           0
           2    -5.47434     -5.4684  0.00419789
           3    -5.45578     -5.4642  0.00443225
           4    -5.45008    -5.46067   0.0045153
           5    -5.45452    -5.45944  0.00377566
           6    -5.46622    -5.46057  0.00331109
           7    -5.48747    -5.46441   0.0045508
           8    -5.46324    -5.46427  0.00398428
           9    -5.45442    -5.46317  0.00368876
          10    -5.46313    -5.46317  0.00331989
          11     -5.4392    -5.46099  0.00366378
          12    -5.47891    -5.46248  0.00365006
          13    -5.47677    -5.46358    0.003531
          14    -5.46233    -5.46349  0.00327992
          15    -5.46594    -5.46365  0.00306532
          16    -5.50114      -5.466  0.00366136
          17    -5.45136    -5.46514  0.00354584
          18    -5.48444    -5.46621  0.00350729
          19    -5.47505    -5.46667   0.0033534
          20    -5.44358    -5.46552  0.00337868
          21    -5.45807    -5.46516  0.00323637
          22     -5.4651    -5.46516  0.00308926
          23    -5.45243    -5.46461  0.00300416
          24    -5.47207    -5.46492  0.00289502
          25    -5.46776    -5.46503  0.00278145
          26     -5.4413    -5.46412  0.00282031
          27    -5.45979    -5.46396   0.0027204
          28    -5.46863    -5.46413  0.00262835
          29    -5.47123    -5.46437  0.00254911
          30    -5.46213     -5.4643  0.00246523
