#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42253    -5.42253           0
           2    -5.46477    -5.44365   0.0149362
           3     -5.4357      -5.441   0.0101898
           4    -5.46582    -5.44721  0.00934236
           5    -5.46869     -5.4515  0.00840386
           6    -5.42989     -5.4479  0.00773659
           7    -5.45691    -5.44919  0.00673748
           8    -5.45292    -5.44965  0.00591147
           9    -5.43495    -5.44802  0.00547587
          10    -5.46314    -5.44953  0.00513273
          11    -5.46702    -5.45112  0.00490614
          12    -5.46247    -5.45207  0.00458754
          13     -5.3945    -5.44764  0.00600253
          14    -5.43539    -5.44676  0.00563719
          15    -5.45783     -5.4475  0.00530947
          16    -5.43278    -5.44658  0.00505671
          17    -5.46228    -5.44751  0.00484283
          18    -5.44138    -5.44716  0.00458572
          19    -5.45251    -5.44745    0.004353
          20    -5.43384    -5.44677  0.00418818
          21    -5.45452    -5.44714  0.00400499
          22    -5.46287    -5.44785  0.00388626
          23    -5.43199    -5.44716  0.00377797
          24    -5.44867    -5.44722  0.00362108
          25    -5.42449    -5.44631  0.00358859
          26    -5.45862    -5.44679  0.00348165
          27    -5.42612    -5.44602  0.00343581
          28    -5.46055    -5.44654  0.00335207
          29    -5.44749    -5.44657  0.00323664
          30    -5.43619    -5.44623  0.00314722
