#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.38197     1.38197           0
           2     1.33941     1.36069   0.0150458
           3     1.46543      1.3956   0.0302191
           4     1.48846     1.41882   0.0302966
           5     1.43232     1.42152   0.0243573
           6     1.36754     1.41252   0.0218963
           7     1.28193     1.39386   0.0255062
           8     1.39471     1.39397   0.0223182
           9     1.45222     1.40044   0.0207556
          10      1.4138     1.40178    0.018723
          11     1.51444     1.41202   0.0196232
          12     1.32569     1.40482   0.0192617
          13     1.34356     1.40011   0.0183474
          14     1.42667     1.40201   0.0171346
          15     1.43922     1.40449   0.0161708
          16     1.20182     1.39182   0.0195001
          17     1.42107     1.39354   0.0184288
          18     1.24402     1.38524   0.0191859
          19     1.37255     1.38457   0.0181878
          20     1.49668     1.39017   0.0181217
          21     1.40516     1.39089   0.0172728
          22     1.39359     1.39101   0.0164881
          23        1.44     1.39314   0.0159082
          24      1.3326     1.39062    0.015444
          25     1.35409     1.38916   0.0148952
          26     1.46994     1.39226   0.0146428
          27     1.46418     1.39493   0.0143407
          28     1.35648     1.39356   0.0138941
          29     1.36848     1.39269   0.0134419
          30     1.41647     1.39348   0.0130172
