#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.61293     1.61293           0
           2     1.44551     1.52922   0.0591909
           3     1.58156     1.54667   0.0419531
           4     1.41942     1.51485   0.0418206
           5     1.48774     1.50943   0.0338062
           6     1.47066     1.50297   0.0287828
           7     1.45312     1.49585   0.0255369
           8     1.53429     1.50065   0.0227925
           9     1.54291     1.50535    0.020738
          10     1.33804     1.48862   0.0245007
          11     1.37318     1.47812   0.0244178
          12     1.38764     1.47058   0.0235184
          13     1.74584     1.49176   0.0297512
          14     1.57087     1.49741   0.0281577
          15     1.52103     1.49898   0.0263245
          16     1.60961      1.5059   0.0255712
          17     1.41087     1.50031   0.0246704
          18     1.58237     1.50487   0.0237173
          19     1.47839     1.50347   0.0225099
          20     1.59821     1.50821   0.0218772
          21     1.41826     1.50393   0.0212505
          22     1.30926     1.49508     0.02205
          23     1.61683     1.50037   0.0217174
          24     1.57165     1.50334   0.0210145
          25     1.59432     1.50698   0.0204866
          26      1.4301     1.50402   0.0199109
          27     1.53261     1.50508   0.0192016
          28     1.49862     1.50485   0.0185172
          29     1.45091     1.50299   0.0179719
          30     1.55933     1.50487   0.0174707
