#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6469      1.6469           0
           2      1.6879      1.6674   0.0144945
           3     1.65895     1.66458  0.00993289
           4     1.68833     1.67052  0.00905201
           5     1.69061     1.67454  0.00808432
           6     1.65196     1.67078  0.00756245
           7     1.68041     1.67215  0.00660617
           8     1.67694     1.67275  0.00580747
           9     1.65923     1.67125  0.00535286
          10     1.68518     1.67264  0.00499558
          11     1.69068     1.67428  0.00480308
          12     1.68487     1.67516  0.00448317
          13     1.61957     1.67089  0.00583159
          14     1.65938     1.67007  0.00547263
          15     1.68006     1.67073  0.00514821
          16     1.65678     1.66986  0.00489972
          17     1.68486     1.67074   0.0046903
          18     1.66593     1.67048  0.00443734
          19     1.67633     1.67078  0.00421447
          20     1.65735     1.67011  0.00405697
          21     1.67661     1.67042  0.00387556
          22     1.68483     1.67108   0.0037543
          23     1.65606     1.67042  0.00364738
          24      1.6712     1.67046  0.00349555
          25     1.64561     1.66946  0.00349411
          26     1.68154     1.66993  0.00339045
          27     1.65019      1.6692  0.00334275
          28     1.68405     1.66973  0.00326522
          29     1.67089     1.66977  0.00315287
          30     1.65806     1.66938  0.00307181
