#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09793     1.09793           0
           2     1.12527      1.1116  0.00966299
           3     1.10597     1.10972  0.00662193
           4     1.12556     1.11368  0.00603467
           5     1.12707     1.11636  0.00538955
           6     1.10131     1.11385  0.00504164
           7     1.12027     1.11477  0.00440412
           8     1.11796     1.11517  0.00387165
           9     1.10616     1.11417  0.00356857
          10     1.12345     1.11509  0.00333039
          11     1.12712     1.11619  0.00320205
          12     1.12325     1.11678  0.00298878
          13     1.07971     1.11393  0.00388773
          14     1.10626     1.11338  0.00364842
          15     1.12004     1.11382  0.00343214
          16     1.10452     1.11324  0.00326648
          17     1.12324     1.11383  0.00312687
          18     1.11062     1.11365  0.00295823
          19     1.11755     1.11386  0.00280965
          20      1.1049     1.11341  0.00270464
          21     1.11774     1.11361  0.00258371
          22     1.12322     1.11405  0.00250287
          23     1.10404     1.11362  0.00243159
          24     1.11413     1.11364  0.00233037
          25     1.09708     1.11297  0.00232941
          26     1.12103     1.11328   0.0022603
          27     1.10013      1.1128   0.0022285
          28      1.1227     1.11315  0.00217681
          29     1.11392     1.11318  0.00210191
          30     1.10538     1.11292  0.00204787
