#T           <H>          error         SIGMA         MU 
         1.5   -0.277208   0.0241455         0.6           1
    0.666667   -0.146623   0.0232434    0.585449     1.08092
        0.67    0.594146    0.102309     0.99702     1.11442
     0.67335     0.16602    0.104844     1.06758    0.889436
    0.676717   -0.215708   0.0454484     1.12313      0.6036
      0.6801  -0.0984511   0.0681036    0.998232    0.694952
    0.683501    0.286748    0.102643     1.19191    0.802778
    0.686918   -0.173127   0.0471828     1.23354    0.472102
    0.690353   -0.188457   0.0462796     1.11592    0.456945
    0.693805   -0.259396   0.0279888    0.971718     0.43136
    0.697274   -0.332401   0.0296618    0.994293    0.606758
     0.70076   -0.345009   0.0194117    0.845162    0.604691
    0.704264   -0.381938   0.0144616    0.720959    0.620716
    0.707785   -0.447927   0.0103499    0.662793    0.762393
    0.711324   -0.426154   0.0125668    0.569422     0.72145
    0.714881   -0.310862   0.0167355    0.557313    0.612414
    0.718455   -0.148894    0.022232    0.612415    0.434065
    0.722047   -0.166586   0.0244737    0.554984    0.465988
    0.725658   -0.435425   0.0130488    0.648541    0.718313
    0.729286   -0.439199   0.0154081    0.552183     0.76912
    0.732932   -0.127949   0.0418907    0.443305    0.739941
    0.736597    0.408893   0.0565043    0.376438    0.568247
     0.74028    0.106694   0.0456847    0.393526    0.497619
    0.743981   -0.280596   0.0179082    0.557003    0.567485
    0.747701   -0.417066   0.0232789    0.512951     0.68211
     0.75144   -0.399069   0.0111773     0.59039    0.699691
    0.755197   -0.358342   0.0114213    0.621352    0.645536
    0.758973   -0.363789   0.0184042    0.819776    0.445922
    0.762768   -0.163026   0.0210316     0.70576    0.410014
    0.766582   -0.114703   0.0239613     0.75166    0.168987
    0.770415   -0.224404   0.0192552    0.894647   0.0203236
    0.774267   -0.305147   0.0190111    0.960604    0.186762
    0.778138   -0.270038   0.0235084    0.944884   0.0810078
    0.782029   -0.347409   0.0217412     1.02186   0.0992917
    0.785939    -0.15732   0.0617534     1.17027    0.228101
    0.789869  -0.0433555   0.0555275     1.20926    0.163788
    0.793818   -0.283005   0.0222159    0.997737     0.30033
    0.797787   -0.333027   0.0242963    0.980067    0.530784
    0.801776   -0.335142   0.0193273    0.941733    0.496918
    0.805785   -0.291536   0.0215842    0.850103    0.565042
    0.809814   -0.308187   0.0178713    0.740152    0.512451
    0.813863   -0.175395   0.0183417     0.62344    0.500424
    0.817932   0.0188983   0.0289817    0.592323     0.32295
    0.822022    0.254974   0.0588908     0.36681    0.539161
    0.826132   0.0857784   0.0284729    0.643583    0.192754
    0.830263    0.159467   0.0279302    0.654692   0.0136592
    0.834414     1.11707   0.0565594     0.38639    0.152162
    0.838586      2.8359    0.146887    0.252681   0.0756033
    0.842779     0.46751   0.0474067    0.424051     0.24628
    0.846993  -0.0292882   0.0231094    0.717483    0.290633
    0.851228   -0.308374   0.0192495    0.899981    0.464888
    0.855484   -0.316121   0.0260414    0.867355    0.694869
    0.859761    0.180205   0.0815654     1.06036    0.889708
     0.86406    0.229157    0.102981     1.17453    0.747046
     0.86838  -0.0369038   0.0602321      1.0584    0.891084
    0.872722   -0.386971   0.0232462      0.8778     0.53004
    0.877086   -0.345992   0.0224701    0.921453    0.405418
    0.881471   -0.337438   0.0208241     1.06614   0.0992898
    0.885879   -0.263265   0.0387333     1.17059   0.0951194
    0.890308   -0.354181    0.020258    0.833534    0.445109
     0.89476   -0.342974   0.0215239      1.0473    0.338842
    0.899233   -0.136997   0.0468271     1.26223    0.367652
     0.90373   -0.186707   0.0495424     1.19192    0.470826
    0.908248    0.630241    0.134622     1.43921    0.128075
    0.912789    0.131387   0.0941126     1.38697   0.0828542
    0.917353    0.223484   0.0788338     1.31546  0.00512997
     0.92194    0.162937   0.0841234     1.38364    0.096217
     0.92655  -0.0141288    0.089917     1.37986    0.317126
    0.931183   0.0573983   0.0714746     1.35865    0.244633
    0.935839    0.104961   0.0947395     1.39431   0.0556537
    0.940518  0.00541399   0.0617553     1.39747   0.0565726
     0.94522  -0.0184362   0.0660522     1.32872    0.218364
    0.949946    0.231596    0.131519     1.32923    0.347675
