#   N_BLOCK:  <H>Block    block ave     error:
           1   -0.442735   -0.442735           0
           2   -0.465952   -0.454344  0.00820856
           3   -0.451551   -0.453413  0.00552491
           4    -0.49758   -0.464455   0.0104218
           5   -0.456676   -0.462899  0.00845272
           6   -0.464355   -0.463142  0.00704742
           7   -0.446206   -0.460722  0.00644256
           8   -0.448721   -0.459222  0.00580927
           9   -0.442982   -0.457418  0.00543684
          10   -0.432679   -0.454944  0.00542689
          11   -0.457725   -0.455197  0.00493942
          12   -0.435438    -0.45355   0.0047944
          13   -0.452817   -0.453494  0.00442593
          14   -0.433692   -0.452079  0.00432991
          15   -0.453109   -0.452148  0.00404179
          16   -0.401525   -0.448984  0.00487265
          17   -0.462713   -0.449791  0.00465246
          18   -0.446836   -0.449627  0.00439689
          19   -0.424664   -0.448313  0.00435735
          20   -0.463231   -0.449059  0.00420284
          21   -0.458138   -0.449492  0.00402487
          22   -0.429911   -0.448602   0.0039391
          23   -0.430477   -0.447814  0.00384585
          24   -0.443907   -0.447651  0.00368905
          25   -0.443679   -0.447492   0.0035449
          26   -0.454282   -0.447753  0.00341817
          27    -0.46952   -0.448559  0.00338531
          28    -0.46106   -0.449006  0.00329371
          29   -0.434974   -0.448522  0.00321548
          30   -0.416125   -0.447442  0.00328463
          31   -0.438731   -0.447161  0.00319067
          32    -0.46531   -0.447728  0.00314097
          33   -0.483368   -0.448808  0.00322612
          34   -0.438591   -0.448508   0.0031452
          35   -0.452271   -0.448615  0.00305717
          36    -0.43133   -0.448135  0.00300972
          37   -0.435083   -0.447782  0.00294898
          38   -0.440603   -0.447593  0.00287742
          39   -0.442998   -0.447476  0.00280605
          40   -0.444888   -0.447411  0.00273664
          41   -0.458844    -0.44769  0.00268407
          42   -0.443669   -0.447594  0.00262187
          43   -0.457499   -0.447824  0.00257099
          44   -0.413986   -0.447055  0.00262507
          45    -0.45497   -0.447231  0.00257262
          46   -0.431475   -0.446889  0.00253939
          47   -0.462489   -0.447221  0.00250696
          48   -0.438924   -0.447048  0.00246068
          49   -0.442604   -0.446957  0.00241214
          50   -0.457794   -0.447174  0.00237361
          51   -0.420664   -0.446654  0.00238331
          52   -0.447145   -0.446663  0.00233749
          53   -0.448979   -0.446707   0.0022938
          54   -0.450353   -0.446775  0.00225231
          55   -0.432982   -0.446524  0.00222528
          56   -0.429264   -0.446216  0.00220678
          57   -0.437873   -0.446069  0.00217291
          58   -0.465828    -0.44641  0.00216199
          59    -0.45339   -0.446528  0.00212858
          60   -0.457177   -0.446706  0.00210049
          61   -0.448137   -0.446729  0.00206619
          62   -0.437489    -0.44658  0.00203823
          63   -0.441723   -0.446503  0.00200733
          64   -0.437182   -0.446357  0.00198125
          65   -0.435382   -0.446189  0.00195795
          66   -0.456974   -0.446352  0.00193509
          67   -0.479088   -0.446841  0.00196693
          68   -0.455917   -0.446974  0.00194252
          69   -0.467325   -0.447269  0.00193663
          70   -0.467502   -0.447558  0.00193042
          71   -0.414139   -0.447087  0.00195977
          72   -0.406466   -0.446523  0.00201212
          73   -0.402931   -0.445926  0.00207127
          74   -0.446289   -0.445931  0.00204329
          75   -0.449812   -0.445983   0.0020167
          76   -0.452239   -0.446065  0.00199185
          77   -0.461176   -0.446261  0.00197562
          78   -0.454233   -0.446363  0.00195293
          79   -0.430534   -0.446163  0.00193847
          80    -0.44016   -0.446088  0.00191569
          81    -0.44044   -0.446018   0.0018933
          82   -0.443925   -0.445993  0.00187039
          83   -0.455938   -0.446113  0.00185169
          84   -0.445594   -0.446106  0.00182965
          85    -0.41458   -0.445736  0.00184534
